Year,GPP,RECO,LE,H,Tair,Tsoil,rH,SWC,VPD,P,Rg,Rn,SOS,EOS,Tair_s,Tair_a,VPD_s,VPD_a,Rg_s,Rg_a,EOS_1,EOS_2,EOS_3
1996,nan,nan,10.21006888,53.02432852,8.964589287,0.36635605,nan,nan,3.166594752,596.82,117.6083822,100.0235077,nan,nan,16.30802546,10.70359259,5.974347222,2.502678241,204.4470671,83.75007639,nan,nan,nan
1997,nan,nan,20.00422831,79.93368834,10.57179909,10.26179224,85.24112704,nan,2.524556507,671.6,118.7781433,79.40705635,nan,nan,17.96564815,10.92288194,4.348486111,1.988134259,201.9324653,89.59427083,nan,nan,nan
1998,nan,nan,29.67679795,73.14706136,10.70734703,10.29507991,83.98265044,nan,2.676441781,1041.7,103.4643545,51.59123847,nan,nan,16.81260417,10.3406088,4.493481481,1.755171296,179.8213542,67.29285185,nan,nan,nan
1999,5.720779727,3.97228926,24.72102169,84.47272851,10.73127055,10.62695034,83.02446644,nan,2.841509703,1079.1,116.055528,78.40309306,53.92706411,313.4429388,16.74009259,11.42661343,5.087835648,2.272553241,203.0201944,83.38483796,nan,nan,nan
2000,5.100017142,3.756820219,19.99066769,70.99344323,10.89863559,11.44719775,84.95074503,nan,2.575114982,892.7,107.9392885,57.71930596,72.30409518,315.3647739,16.30742824,11.34936574,4.231108796,1.615770833,189.6052431,75.86190741,nan,nan,nan
2001,5.437316306,2.671286027,19.85535845,71.43174646,10.64757648,11.53107591,85.62726354,nan,2.582410959,960.4,112.286714,59.80959131,48.4055185,338.7163136,17.50197685,11.76434028,5.195252315,1.463803241,202.4862037,76.99056944,211,293,326
2002,4.460608869,2.630139726,16.91130993,76.19541166,10.29483904,11.76561073,85.84124381,nan,2.236464612,988.3,110.6439646,57.20786321,25.94543614,313.737669,16.21357407,10.71983102,3.492430556,1.782231481,183.7005648,82.86415046,200,263,318
2003,0.19,1.872,-0.01,nan,10.93098116,7.441559361,100,nan,3.883732306,681.98,126.5029264,-7.49,nan,nan,19.05447454,10.8177963,7.45,2.925564815,220.4427917,86.60067824,211,291,319
2004,4.830544243,2.727207869,17.69685376,81.57219294,11.29626025,11.21408982,80.2883903,nan,3.375307946,785.07,114.562837,60.2219852,57.82824547,309.1966787,17.55562269,12.60536806,5.284344907,3.188902778,189.9076528,89.0657963,211,293,327
2005,6.327785779,2.107903562,25.1614589,81.92984715,11.6294161,12.99422774,76.32956281,nan,3.37282363,745.78,117.0589566,70.00349608,66.96980367,327.8683007,17.60619907,13.44949074,5.687210648,3.499506944,199.400581,93.51824769,224,298,331
2006,5.772350904,3.178843836,23.65014897,85.19556724,11.86688014,9.983643265,75.61077143,nan,4.071753425,677.36,116.3203967,67.99564567,65.49998414,336.349971,18.15898148,13.7780162,7.752902778,3.572488426,206.1328773,85.60749306,215,297,331
2007,5.456608815,3.120595068,23.26973116,76.77185753,11.15448402,11.35806849,77.4021548,nan,3.627944635,799.22,114.5712865,63.43684321,59.75629137,271.8941913,16.80570602,10.63397917,5.282199074,2.606905093,183.5269028,81.00428472,198,278,313
2008,5.591205498,2.8734,21.13660633,80.59936522,10.61810849,10.8199852,76.51855207,nan,3.728467099,863.06,116.8662352,57.61956616,79.56718315,319.6254331,16.78272222,10.94631944,5.676060185,2.884150463,187.3859907,85.38827778,205,292,331
2009,6.0541843,3.150192877,25.5824024,88.89344677,10.56638642,10.63811416,76.63900237,nan,3.967728881,872.04,126.0778613,66.54214662,48.47223326,315.5370128,17.46145602,12.15006019,7.118833333,3.266509259,222.9454468,88.60105787,214,299,330
2010,5.583020876,3.210654247,22.65685845,86.50187855,9.272846461,10.11950514,79.31965771,nan,3.40347032,841.64,121.8135325,70.01063021,56.41880309,351.2849932,17.67712731,10.54139352,7.280393519,2.353048611,212.7092361,83.10026157,197,306,329
2011,7.540519043,4.749572603,29.66825114,108.7379333,11.39927511,11.0376855,77.62327592,nan,3.844248858,668.11,123.5136102,68.66251731,23.2687783,360.8417048,16.47601157,12.64035185,5.230479167,3.171090278,184.2805093,91.82409491,226,302,326
2012,7.704166667,4.154655191,35.04370162,99.10044113,10.44130123,10.73915813,78.67198429,nan,3.486209586,902.48,118.6634261,66.54985623,62.34722857,331.0422375,16.97000463,11.27641204,6.110076389,3.114381944,194.6423171,91.79959259,215,303,332
2013,6.394959582,3.279420274,26.22462785,105.2309537,9.921643836,10.18448288,77.5419532,nan,3.551784247,788.09,115.9362803,65.29661603,58.54353984,309.64522,17.71616204,11.63965972,6.801263889,2.847574074,203.3003981,83.02476157,239,292,324
2014,6.127707394,2.905250959,26.29468322,103.6902905,11.82279909,11.67545776,77.01025457,nan,3.852530822,590.99,116.82498,64.43227753,30.29133946,336.2762595,17.02891667,13.14925926,5.821900463,3.018576389,190.9415301,84.24612037,190,292,325
