Year,GPP,RECO,LE,H,Tair,Tsoil,rH,SWC,VPD,P,Rg,Rn,SOS,EOS,Tair_s,Tair_a,VPD_s,VPD_a,Rg_s,Rg_a,EOS_1,EOS_2,EOS_3
2000,8.856802227,2.991630944,nan,nan,9.352331645,nan,nan,nan,2.577070075,1790.04,126.5693123,nan,nan,328.019513,15.74718056,10.35533333,4.917282407,2.478238426,236.4747269,93.92016667,nan,nan,nan
2001,8.232448543,2.89196,16.64904099,69.47281349,9.306954338,5.046176808,84.10666106,23.37569125,2.533958904,2104.43,128.6045325,16.01047824,nan,329.843565,15.14550463,10.54150926,4.352210648,2.381002315,223.2499537,98.02449306,227,279,293
2002,3.928210197,2.706252055,32.16557877,93.10264201,9.74740468,8.651731147,76.32124957,22.85063196,2.988371402,1816.35,142.9112985,65.38400508,nan,nan,16.89978704,10.76972917,6.134608796,2.719965278,260.6435162,104.7930972,222,265,296
2003,4.385882672,3.034893151,31.10319463,98.72647756,10.17735788,8.793137548,76.84419394,22.88142015,3.082178653,2461.83,139.3111952,13.66779013,102.3366702,240.4100496,17.56263426,10.70043056,6.422074074,3.034798611,264.8379676,106.0483171,220,262,294
2004,4.202757905,3.316454645,30.11187557,98.92377014,10.4019194,9.610685906,77.4449186,22.41488957,3.170687614,1867.32,142.3376702,nan,22.16462878,nan,17.59257407,10.23631944,6.814997685,1.841076389,257.6629005,92.30603009,201,256,286
2005,4.645163553,3.569654795,30.01619349,91.17105508,10.02443493,9.263733928,79.50668713,21.59468659,2.925557078,2304.91,133.3946553,nan,64.05872787,281.9201285,16.72600463,9.745030093,5.689759259,1.848164352,229.8887199,90.64124306,194,258,292
2006,4.628267016,2.998099178,28.46495205,109.2110163,9.851390982,8.419980565,75.73765247,19.15594041,3.440437215,2325.81,136.8930594,nan,52.31608169,nan,17.34236806,10.53333565,6.767583333,3.2013125,257.9092176,101.6347986,217,279,311
2007,5.61355553,3.33273863,35.14334075,88.1424809,9.066902397,8.131106344,80.21639547,20.40701604,2.553878075,2609.48,115.6645559,nan,95.99759723,315.1481953,15.67955556,9.635099537,5.009599537,2.327759259,207.3353565,82.8299213,219,277,307
2008,5.0136799,2.875039344,29.67402607,100.5760271,8.566291553,7.718761138,79.04602719,20.71944877,2.84444495,1632.16,129.7296033,nan,75.95691673,280.821428,14.80128009,10.50143056,5.318344907,2.78637037,234.1965463,92.31896759,219,268,329
2009,5.215855743,2.684014795,31.95710902,111.5207972,9.596765411,7.834417431,77.16501694,20.16886581,3.022113014,1985.95,136.1693288,nan,53.64500644,308.0667676,18.17413426,10.42940972,6.403912037,2.155650463,252.7820625,81.4689213,224,259,286
2010,5.80149687,2.911843836,32.63635388,100.5121364,9.751403539,8.570233425,81.05576799,23.24242723,2.63691153,2532.24,124.4923961,nan,nan,294.8199815,16.8284838,9.572296296,5.717381944,1.881819444,253.2040926,76.49132639,208,273,297
