Year,GPP,RECO,LE,H,Tair,Tsoil,rH,SWC,VPD,P,Rg,Rn,SOS,EOS,Tair_s,Tair_a,VPD_s,VPD_a,Rg_s,Rg_a,EOS_1,EOS_2,EOS_3
1994,5.255635472,5.929137873,nan,nan,6.109354986,nan,nan,nan,3.709021367,860.21,145.681862,nan,nan,330.6194173,18.07877778,9.691296296,6.996421296,3.5736875,224.1389514,111.6528519,nan,nan,nan
1995,4.639185177,4.927337534,14.53626998,93.17727853,6.458361872,nan,76.89591675,nan,3.91822193,949.26,147.1614207,nan,nan,nan,19.66276852,8.069546296,8.48649537,3.247388889,240.1028333,109.9709606,nan,nan,nan
1996,2.999414339,3.589775956,38.08740722,84.75855494,5.812368511,7.333616734,75.79055302,nan,3.496889091,1029.62,139.9087409,nan,124.6709,284.824139,17.97309491,8.611752315,6.934407407,3.098053241,223.6576111,102.3393935,nan,nan,nan
1997,3.833950006,2.730511233,22.97405428,92.52364415,6.03515468,6.619647472,70.79363736,nan,3.707305584,799.98,143.8958402,nan,107.2409561,342.4029822,18.27508102,8.191743056,7.727594907,3.332939815,237.1931273,113.7501644,nan,nan,nan
1998,4.089305633,3.358926027,41.14615982,90.51525485,8.379204909,8.203403173,70.73627686,nan,4.393427021,642.61,148.537734,nan,117.580707,298.7476509,18.69266667,9.798506944,8.254206019,3.877858796,231.7433981,116.6511134,nan,nan,nan
1999,3.433617407,3.465713425,40.9199532,92.6034686,7.765034817,8.914980561,68.8187589,nan,4.679879422,681.45,156.445464,nan,99.18032391,281.3825791,19.53850694,9.897196759,8.580951389,3.920217593,242.0875301,112.2337639,nan,nan,nan
2000,3.724874702,2.481535519,35.90526633,83.53584376,6.503380009,8.205983943,74.67333993,nan,3.621301151,844.24,141.0656694,nan,114.8257465,315.8342575,17.24372685,9.380740741,6.697381944,3.644905093,220.2439699,117.510919,nan,nan,nan
2001,3.005455682,4.255309589,55.92786135,163.247287,7.784113584,8.754216303,74.88536984,nan,4.258160224,783.5,147.7326444,nan,86.40340106,285.3872981,18.85516204,10.27082176,8.950266204,3.399099537,243.2530069,104.4924144,231,283,312
2002,3.333517616,3.071968767,32.4998847,94.42757512,7.4662871,8.269001598,74.93601975,nan,4.299596461,647.66,142.4041946,nan,123.6460961,330.3489301,19.62203241,9.376599537,9.307115741,3.876016204,240.355581,106.9787546,234,288,323
2003,3.810592849,3.192631233,37.04566933,113.4610423,6.020155822,8.586078849,74.54275997,nan,3.801834999,825.62,144.0156667,nan,134.2642492,309.8424496,18.49155787,9.069606481,7.939493056,3.321509259,231.9159606,104.8494769,226,280,313
2004,0.919624729,1.931789617,nan,nan,6.227745902,nan,nan,nan,3.60302944,837.45,143.2713103,nan,11.80269218,318.4245689,17.04746528,10.02875926,7.062173611,3.808509259,229.3847963,115.3340046,218,280,304
2005,3.864850258,3.87368274,56.33230452,188.8491286,7.349570205,10.60795657,74.39716767,11.93614493,4.62453376,653.93,153.5376124,86.65489137,122.8425325,323.0151822,20.41323611,10.51411343,9.556988426,4.292287037,242.1790255,115.1888634,214,282,308
2006,3.536205497,3.827002192,36.33428938,115.8530346,7.785453196,10.45186603,74.32641013,14.25823442,4.13905515,888.95,147.1095257,82.04894663,115.4548537,289.2577988,19.3122338,8.366247685,8.780965278,2.90456713,236.8084028,101.403544,221,270,303
2007,3.750916266,2.76230137,35.31337024,123.1318745,7.145116438,10.47693746,72.22169537,12.40756501,4.600595932,584.72,151.7345839,83.88068091,123.6828533,329.194176,18.93644444,10.42011574,9.23994213,4.130543981,246.0083403,113.6680764,225,282,305
2008,3.187173664,2.347293989,30.96322056,121.3308413,6.420940915,9.853169998,75.4667072,14.15870151,3.640038751,927.82,149.4716997,84.87594604,118.2468004,271.3901957,18.07805787,8.505111111,6.938865741,3.23130787,231.6301759,114.9018148,238,277,300
2009,3.534806131,2.945014247,41.50878196,120.4383796,6.238038242,4.774358524,74.97827782,14.88409326,3.607906963,769.3,146.7442061,82.79077304,110.5943365,312.027636,17.00060417,8.869918981,6.7886875,2.881928241,225.4383472,108.567456,219,277,303
2010,3.971196337,4.312420274,42.79212386,116.6602471,7.669294521,11.60359446,74.12320754,13.70735679,4.262810125,740.95,147.3015833,85.24948968,85.38756445,302.751513,19.1065162,9.088606481,7.751310185,3.565287037,225.0794722,105.330287,218,271,293
2011,4.5589493,3.742382466,38.41794635,109.2394505,7.299353881,10.21922058,74.29179818,14.45825067,4.185683219,833.92,144.1587249,80.49777067,123.7487457,311.0342567,19.61219213,9.985453704,9.51869213,3.422884259,240.8648032,106.4443843,218,279,308
2012,5.361223422,3.905380328,41.06917748,112.4756192,8.355496926,9.508464158,73.38689704,14.5554309,4.90141888,677.54,150.0372051,82.66871996,127.2093064,295.9655163,19.56293287,9.060361111,10.14214352,3.698626997,236.7829005,109.0223102,205,273,301
2013,4.337884307,3.102441096,38.10901998,114.6981161,6.588365868,8.4422501,77.24090001,15.22683271,3.775399372,911.92,145.4130211,84.96367892,122.3775699,307.8504341,18.30903241,8.997159722,7.577143519,3.256222222,231.2783495,108.1556157,214,275,301
2014,5.296219234,3.405905205,35.69309589,117.0754963,5.843202626,8.863408123,75.72029405,17.03759104,3.728962663,779.13,145.3877414,83.39981269,137.4089877,287.5232237,17.95862269,8.858509259,7.78075463,3.151462963,226.9612454,103.796412,240,281,307
