Year,GPP,RECO,LE,H,Tair,Tsoil,rH,SWC,VPD,P,Rg,Rn,SOS,EOS,Tair_s,Tair_a,VPD_s,VPD_a,Rg_s,Rg_a,EOS_1,EOS_2,EOS_3
2003,7.5379032,3.457346378,46.43508648,101.1042561,2.296391347,6.685517512,84.62623824,43.92798466,3.276648781,800.34,138.7755563,43.83345925,57.13266489,274.0046872,16.71401852,5.342453704,6.777895833,2.130344907,219.88375,91.84874306,215,262,296
2004,4.569146945,2.172505464,34.66707821,89.82914618,2.016913138,5.016641052,72.25147468,43.12727305,3.152206853,738.35,140.5597524,75.64976556,114.523169,251.6718101,15.02081944,6.834263889,6.398763889,2.543925926,226.6244282,98.76967824,218,263,289
2005,4.488435431,2.832213151,30.74044806,103.0090317,3.555433219,5.929312215,74.19616101,37.21773984,3.977357306,738.66,149.4890177,81.37277467,140.7041952,311.9870463,18.54817824,6.065166667,8.828261574,2.620738426,244.2248565,100.4849144,233,270,292
2006,5.232425027,2.942761096,33.45868493,90.22485038,4.173446918,5.753071918,73.59072448,39.74502118,3.591761416,833.93,141.1614132,79.46889416,102.6916075,298.7160497,17.0045,5.007787037,7.190592593,2.475368056,232.7740509,94.10491435,238,262,279
2007,4.9743488,2.755152877,33.15719349,94.38175715,2.959488014,5.793109018,72.13589415,41.48133259,3.58575742,840.88,138.1845462,76.76137337,107.5691189,311.6900372,16.69685185,6.570194444,6.623344907,2.621868056,215.015,90.61913889,215,258,284
2008,5.111950054,2.98679235,30.10638889,89.45520504,2.185469604,5.31815403,75.05919891,42.61806483,2.860597678,873.23,131.5043898,73.05822424,126.4733965,304.1155434,15.86222917,5.896622685,5.405523148,2.852900463,196.3129329,104.1041713,219,267,294
2009,4.38481569,2.296321644,27.94126027,83.80470774,2.255268265,5.231468037,75.00913786,44.42165274,2.821010274,801.82,130.6966638,73.79818519,109.2883894,303.0707621,15.15555556,6.330180556,5.184898148,2.331974537,196.3071528,94.62333565,228,273,300
2010,4.256837416,2.007850959,28.35592694,87.59732219,4.400074772,5.823781963,72.69344731,39.11090314,3.72070605,627.7,137.6669189,79.05937329,96.96338909,311.5102582,16.99386806,5.369729167,6.35605787,2.6309375,208.9349167,98.98959491,215,260,281
2011,4.220760919,2.000139726,25.57441781,98.98491683,3.499075342,5.650641553,70.67446255,37.70304562,3.761765411,754.06,144.0202757,81.36175117,112.1165298,314.0630176,17.58016204,7.376395833,7.643152778,3.207784722,236.2708426,103.8069167,224,264,285
2012,3.892775897,2.023708197,26.40723987,82.84344672,5.568227459,5.890527095,68.61620973,37.72746203,4.594153575,794.79,133.8378837,77.72136384,96.66153989,299.9040557,18.52725694,7.865949074,8.777113426,3.951928241,223.2376736,93.49844676,217,258,286
2013,3.563956053,1.821594521,23.94003311,79.62130124,3.74131621,5.175954909,67.63170153,44.02263151,4.265731735,1085.65,132.1196553,77.40576427,108.9783908,302.3199072,18.27678704,7.33168287,8.719483796,3.749085648,217.4505671,94.53841898,226,264,290
2014,2.471401835,0.685123288,20.59900514,98.31165523,2.129966324,-0.156838559,64.1419535,44.59795852,3.146562785,966.62,125.6675965,62.75534788,107.58318,335.3000509,16.26132176,4.555997685,6.441081019,2.227372685,204.0695764,78.896375,232,261,281
