Year,GPP,RECO,LE,H,Tair,Tsoil,rH,SWC,VPD,P,Rg,Rn,SOS,EOS,Tair_s,Tair_a,VPD_s,VPD_a,Rg_s,Rg_a,EOS_1,EOS_2,EOS_3
1998,2.507655682,0.773911022,31.85592139,96.38358492,6.515490039,11.72914318,57.19821981,nan,5.417341172,481.67,154.2545836,87.04019456,nan,251.6872946,17.70222454,8.451143519,9.243831019,6.335041667,246.359456,117.829662,nan,nan,nan
1999,0.938828081,0.369643836,19.6183008,106.9929649,7.267701484,8.01566484,57.63265784,nan,5.870369292,329.77,158.4214235,72.64710355,105.3299313,184.574317,16.2055787,8.670907407,10.07255556,5.9804375,249.0865694,119.7245602,nan,nan,nan
2000,0.908794016,0.414981967,20.32430214,101.6142923,5.687539845,8.198308798,59.87061703,nan,6.390182149,188.77,162.0025268,81.39249146,101.2707207,186.7346033,17.76346759,6.245733796,13.68667824,4.897263889,267.6739907,119.2037245,nan,nan,nan
2001,1.035997721,0.441517808,15.7726758,105.9135851,7.060964612,8.365959706,53.95491115,nan,7.018839041,190.03,166.6340006,68.3102547,105.6679,197.1982363,18.38742593,9.150270833,13.57438426,7.076143519,268.2651852,122.5408194,nan,nan,nan
2002,2.763408092,0.876005479,20.47372774,66.07877915,5.037946347,6.080465656,63.77978865,nan,4.838809932,458.89,154.4063465,61.31959483,146.1062169,287.2605712,16.84460648,5.941569444,9.191136574,4.409053241,248.3416296,108.8847662,231,273,296
2003,2.395286399,0.777890411,26.00736587,86.07292764,6.893057078,6.742428191,61.54567604,nan,6.455542299,243.84,157.626524,69.66060708,107.2292906,218.8025411,19.57313657,6.579657407,12.65990972,6.392594907,263.3970903,117.7216343,195,220,264
2004,1.898631122,0.80085847,27.10631717,88.55862727,6.342998065,6.391091758,63.28735143,nan,5.349175205,404.58,152.7822347,69.62463784,140.3542115,227.3128755,16.51076852,7.010261574,8.346469907,5.47474537,242.2720926,112.1205718,203,223,271
2005,2.583589535,0.879053151,33.19119463,64.91218734,6.071965753,6.702376431,62.58036939,nan,5.371538242,546.98,155.8519543,72.31590195,138.9212056,268.7989987,16.19780556,7.244775463,8.081800926,5.26755787,238.9089606,113.1590972,220,267,291
2006,1.760473481,0.581957808,25.47224543,82.78602538,7.316946918,8.139724285,61.35124791,29.16910445,6.037177511,308.53,159.1335325,79.04540203,96.85501607,250.5377319,19.05036806,6.705685185,10.68531019,5.45293287,266.3127454,111.6250023,198,230,273
2007,0.978402266,0.414198904,15.29555194,96.78095031,6.920127283,8.200532534,59.53446632,25.27877854,6.497069064,300,165.4173533,78.34574715,113.2565075,212.3502803,19.44293056,7.397483796,12.67830324,6.360078704,283.895206,125.8880556,191,220,266
2008,0.05941989,0.243260656,4.385885047,157.4139044,5.581723588,-0.888202427,63.98545455,23.9734634,5.571760587,416.69,158.1993716,33.92411724,nan,nan,17.27184954,7.893974537,10.86211111,5.437875,260.4169815,119.3997639,210,246,293
