Year,GPP,RECO,LE,H,Tair,Tsoil,rH,SWC,VPD,P,Rg,Rn,SOS,EOS,Tair_s,Tair_a,VPD_s,VPD_a,Rg_s,Rg_a,EOS_1,EOS_2,EOS_3
1994,3.323498432,1.563462937,21.88025915,148.8137168,-1.805044808,4.740344693,nan,nan,3.460558822,242.39,136.6288567,72.12443628,96.64844116,317.7470733,15.56028241,2.85144213,8.64843287,2.464465278,244.0835718,82.69859259,nan,nan,nan
1995,3.637672748,1.96690137,22.75826941,117.5986028,-2.439377283,0.454332192,nan,nan,2.993636986,368.31,135.4062449,69.84723464,109.4326051,296.9659147,15.33557407,-1.003537037,7.241842593,1.925828704,217.5628519,86.47955324,nan,nan,nan
1996,2.924428524,1.792496721,21.48727744,115.134853,-3.775449112,0.823843352,nan,nan,3.130012523,344.54,140.0281848,85.15258356,136.3813025,307.6081271,15.21188889,-0.5478125,7.738835648,2.190666667,239.6056481,80.47985648,nan,nan,nan
1997,5.190013374,2.983120548,21.33400457,115.116457,-2.413465183,1.525339041,nan,nan,2.817494292,362.37,131.5554737,88.01076884,40.10885999,291.717067,14.95186806,-0.136574074,7.292787037,1.621446759,233.3328403,69.78172685,nan,nan,nan
1998,3.534656725,1.945282192,23.62249658,106.0321051,-0.156150685,2.345921233,nan,nan,3.258909247,299.71,134.8648231,83.23062002,77.29217312,296.1122595,16.14428009,1.979289352,7.546555556,1.992171296,229.1567755,82.59464352,nan,nan,nan
1999,3.507677146,1.689515616,21.41760217,107.8820045,-0.236141553,2.351530822,nan,nan,3.165855023,212.67,130.3325171,72.97677752,74.89950306,297.7915883,15.6312963,1.074699074,7.241134259,1.974048611,235.3045069,76.43875926,nan,nan,nan
2000,2.611423714,1.626162842,17.05670139,100.7826552,-1.626905738,3.296964367,nan,nan,3.017661088,322.31,130.2792885,72.79507984,90.30640457,291.3974053,14.86776157,1.037469907,7.283805556,2.199574074,231.5500231,80.05762731,nan,nan,nan
2001,3.156985171,1.557423562,16.16689326,110.7706985,-0.028297945,3.968742009,nan,nan,3.231725457,270.99,133.9228253,81.11861972,96.46160436,298.52418,16.02648148,2.554435185,7.648083333,2.219618056,238.9542755,76.40543519,nan,nan,nan
2002,2.769165433,1.41073863,20.00465639,125.2105902,-2.116958333,1.80140468,nan,nan,2.971578196,360.53,132.9959692,80.81900105,119.2873086,297.7374323,16.10453472,-0.1301875,8.000048611,1.658145833,234.7021898,70.54363889,223,254,281
2003,2.932975143,1.615283288,22.83950856,125.8168258,-0.384155251,2.277384132,nan,nan,3.567824201,258.03,140.1555576,85.91243716,82.29580312,304.7665558,17.78452083,2.060951389,8.678337963,2.013840278,249.3122083,74.31371759,195,254,292
2004,8.201207959,5.393954098,17.43242657,115.6628609,-2.323243397,1.181721311,nan,nan,2.73199112,292.72,125.4765528,77.70252034,nan,345.8584196,14.47256713,2.772106481,6.586368056,2.079553241,207.6492708,74.32884954,227,259,334
2005,nan,0.249593973,21.72241724,108.6819506,0.274708904,1.784172945,nan,nan,2.786188927,597.05,122.0785194,73.98730432,nan,nan,15.92477315,3.138180556,6.575905093,1.65256713,212.4274444,71.63777546,223,253,335
2006,4.103674045,1.577216438,25.25660616,112.6841025,1.722950913,2.585091324,nan,nan,3.334052511,284.88,128.2462306,73.22933279,81.09693969,301.4610745,17.53204167,1.943208333,7.713782407,2.357798611,225.8767616,84.10756713,228,256,287
2007,3.399961851,1.54697589,22.6869355,89.52555865,-0.379888699,1.889101027,nan,nan,2.848736301,401.22,126.2432489,70.19200857,92.52997458,285.4934465,16.88340278,2.097354167,6.999979167,1.359108796,227.3308218,63.47191435,210,250,304
2008,4.342773009,2.231100546,18.85149932,79.61982516,-1.363995902,1.812014663,nan,nan,3.103029941,272.83,126.2584381,82.78550967,146.6500339,293.5409572,17.64344676,2.666453704,7.675708333,2.003210648,221.7562153,65.65534259,229,270,317
