Year,GPP,RECO,LE,H,Tair,Tsoil,rH,SWC,VPD,P,Rg,Rn,SOS,EOS,Tair_s,Tair_a,VPD_s,VPD_a,Rg_s,Rg_a,EOS_1,EOS_2,EOS_3
1996,6.209313808,2.535902818,32.29686685,62.89673326,-0.392517789,-1.437763426,73.16944757,27.07734795,3.043762168,427.38,133.9093419,46.65841278,149.4543381,280.5908109,16.41219907,1.706034722,6.416002315,2.419918981,234.9414306,84.90186343,nan,nan,nan
1997,5.297245039,2.713616438,33.17816381,81.3700248,2.720226598,4.709059361,71.1563657,21.49667979,3.666923516,414.51,137.6982648,66.61915595,144.7346181,282.5981201,17.41813657,4.116983796,7.942127315,2.891474537,244.2412477,86.60654167,nan,nan,nan
1998,5.596270592,2.753312329,29.81761587,76.87663723,3.400359589,5.13253653,71.27789302,21.93027009,4.063797374,546.03,140.5052888,55.10814686,116.9507076,281.9519534,16.93665741,4.628372685,7.144546296,3.408395833,233.1790972,90.49416667,nan,nan,nan
1999,4.675613744,2.592216986,26.5495468,75.08238926,2.699796804,4.842505708,72.55630877,22.27594138,3.329733447,479,131.6551992,57.75550061,135.9771029,270.1853888,15.26932407,3.972335648,6.011354167,3.090166667,219.2900486,91.4351713,nan,nan,nan
2000,4.664344086,2.392691257,27.62790301,85.80715441,0.995749658,4.681408811,73.04553891,21.77841934,2.826100296,483.7,134.190707,55.08516947,132.5444298,276.2202208,14.39594213,3.014587963,4.817064815,2.60550463,213.8371181,98.33832176,nan,nan,nan
2001,5.260202884,2.391026301,28.50013071,94.65866115,3.023114726,4.669039954,68.66353505,15.82388179,4.035013699,235,143.9152597,61.3256979,126.9357241,278.8745905,16.18930093,4.439217593,7.78675,3.557553241,241.8140903,101.7074259,214,261,282
2002,4.16098581,2.115422466,21.13047546,102.994273,0.752361301,3.524646119,67.21039968,15.07024024,3.807655251,286.8,141.5882711,62.33017777,146.7825928,273.9671487,16.2804375,0.84537037,8.801645833,2.279824074,233.356588,88.59027083,226,268,285
2003,4.605490719,2.231012603,20.19444521,106.8285559,1.877900685,3.960956621,66.99850241,14.98990497,4.343324772,261,138.8295902,54.96027613,132.2389493,288.4285281,17.38244907,3.149266204,9.146814815,3.490655093,232.9921782,96.17151157,215,262,286
2004,3.786682313,2.231303279,23.01133481,89.33396712,0.615212318,3.683378871,71.56454359,21.62813126,3.098743169,667.07,126.91639,57.82044821,151.5612955,275.007519,14.02807407,3.931518519,5.867030093,2.842414352,206.8091713,85.96,237,263,282
2005,4.713233089,2.457443836,25.21861301,83.76609575,2.294114155,4.526293379,72.78112386,25.06841301,3.207875,615.03,129.2540605,58.27323813,133.5895285,275.1456046,14.80725231,4.569125,5.654113426,2.913814815,206.2109745,89.6033287,223,259,278
2006,5.939986692,2.887269589,34.56240582,78.37647792,2.948920662,5.230028539,70.71964685,25.36820908,3.895749429,624,137.4963961,63.33193508,123.103688,274.7637638,17.12330093,1.74387963,7.599627315,3.042155093,239.6356968,90.86288426,221,260,279
2007,4.554576973,2.70476,30.84396233,87.22277679,1.610070205,5.168795091,70.52890753,21.59465788,3.581878425,548,138.6434195,67.04648652,128.2816132,273.3058932,16.17032176,3.50349537,7.318631944,2.66656713,235.239287,89.50307639,212,252,275
2008,4.735644043,2.563354098,30.47362591,92.56233617,0.982615551,4.842190346,67.54417407,18.8334005,3.784914048,399.3,144.7193112,67.58470206,142.217733,284.6322612,16.55766435,4.693462963,7.58900463,3.363706019,235.0148912,96.9336412,218,260,284
2009,5.167479591,2.4848,28.87630537,90.33996472,0.940665525,4.32848516,69.16200746,20.09593693,3.482509132,442,140.5579543,66.62717727,150.8034901,291.5236623,14.93911111,5.475576389,6.618488426,3.470011574,225.5745764,96.34758796,235,280,306
2010,4.878225779,2.675515616,30.05588527,78.41413174,2.5504629,4.471864155,72.45428531,24.61311473,3.429958333,705,130.8693818,63.71255868,124.5413551,269.7143603,15.87090741,3.649282407,6.173335648,3.139280093,224.7180741,88.72086574,223,254,273
