Year,GPP,RECO,LE,H,Tair,Tsoil,rH,SWC,VPD,P,Rg,Rn,SOS,EOS,Tair_s,Tair_a,VPD_s,VPD_a,Rg_s,Rg_a,EOS_1,EOS_2,EOS_3
1997,nan,nan,nan,nan,2.318635767,-1.393562977,69.31395015,nan,3.873503625,452.58,133.4485085,71.48272782,nan,nan,17.40609722,3.488104167,8.797078704,2.401953704,235.8401458,81.17507176,nan,nan,nan
1998,nan,nan,nan,nan,2.944682648,3.052945776,70.69056895,nan,4.146813356,446,139.4593813,72.70472065,nan,nan,17.16150926,4.208673611,8.154770833,3.045344907,228.4010463,89.91533102,nan,nan,nan
1999,3.820042078,2.034978685,30.00981962,119.3978983,2.653856735,3.150268265,71.82690085,nan,3.509364726,419,131.7562158,52.76237075,87.56720981,304.7087983,15.76369444,4.11068287,6.964530093,3.034530093,225.1738009,91.29971759,nan,nan,nan
2000,3.215075132,1.946994536,23.70363388,103.6991881,1.119188297,2.869117145,69.38596263,nan,3.326318875,486.01,130.6767361,61.2987179,86.13319442,291.6550328,15.02126157,3.22118287,6.502708333,2.895881944,213.1683472,94.77159491,nan,nan,nan
2001,3.515062522,2.033832877,25.04016895,114.673281,2.911792237,3.068188927,69.08169454,nan,4.105030251,407,142.4600771,74.89692221,99.34808632,302.0466278,16.59194213,4.211099537,8.096863426,3.507773148,243.0683565,100.2414676,nan,nan,nan
2002,3.102928221,1.794389589,21.47235502,115.2053014,0.181030822,1.909111301,71.78082516,nan,3.468380708,434,137.5459087,71.65871244,113.7722041,290.7611532,16.4647963,0.293738426,8.60669213,1.828064815,228.8684583,83.79368056,nan,nan,nan
2003,2.993513231,1.805716164,22.03334132,115.676063,1.036875571,2.31877911,69.99202986,nan,3.940847603,289,136.2080788,77.54895563,88.21306116,318.1694351,16.77721528,2.357261574,8.487928241,2.988300926,222.1613218,93.05785417,211,250,288
2004,3.065676001,1.878733333,20.97828893,97.54753335,-0.271458903,2.508826844,71.17354656,nan,2.966985997,698,127.848224,76.00492597,98.20430227,303.2194793,13.58010648,3.217606481,5.98125,2.590083333,207.2609537,85.99639352,225,260,285
2005,3.602161175,2.084130411,21.73670833,96.09030956,1.711430365,3.155160959,74.22320455,nan,3.109630137,569.85,129.9797882,74.35238081,90.14163795,312.8109736,14.8428287,3.914372685,6.068347222,2.42575,208.1680556,89.70008102,215,258,359
2006,3.252698464,1.956876164,24.19428425,99.46951406,2.404920091,3.569784247,73.19292489,nan,3.745705479,598,136.1986102,75.51577677,76.90903326,298.77883,17.05006481,1.099337963,7.842666667,2.738939815,235.7945833,86.94511343,215,266,331
2007,3.40766928,2.085888219,23.77574087,101.4745131,0.822241438,3.600136986,73.06049743,nan,3.392476027,484,134.6246878,73.85024822,84.67480656,303.1822534,15.86956019,2.521247685,7.601877315,2.057837963,230.0177407,84.27763426,211,266,309
2008,3.271112809,2.17714153,25.30017646,108.1121457,0.159269126,3.106829463,70.06509051,nan,3.545321038,373.06,142.3143995,77.19891292,107.5946952,311.6357098,16.39829861,3.658266204,7.783465278,2.641949074,230.8767523,90.61805787,238,271,309
2009,3.844896564,2.268111233,23.93773174,102.7300854,0.264892123,2.836500571,72.64164538,nan,3.089986301,530.2,135.672149,71.76546317,103.230248,295.0453841,14.45727315,4.908041667,6.119673611,2.921652778,217.3064907,94.31617593,228,278,314
2010,3.625293143,2.376204932,25.16206507,90.05690108,2.075059932,3.312939498,73.97532412,nan,3.300573059,584,127.2752197,73.58558358,76.72102588,306.0044642,15.76979861,2.911337963,6.388388889,2.719219907,217.3353634,85.43349769,233,272,311
