Year,GPP,RECO,LE,H,Tair,Tsoil,rH,SWC,VPD,P,Rg,Rn,SOS,EOS_GPP,Tair_s,Tair_a,VPD_s,VPD_a,Rg_s,Rg_a,EOS_1,EOS_2,EOS_3
2004,6.944239805,2.121710389,62.71978596,133.3325,7.206263449,8.355969649,88.99054054,14.28019536,3.061632607,1057.76,140.4312227,nan,73.93128504,324.1022857,15.28368287,8.666141204,5.423578704,2.367782407,226.9601366,102.8404884,234,296,326
2005,6.745043328,2.340408219,53.91216724,97.08426454,7.434884132,8.629528539,78.05616606,18.04181678,3.375494292,1088.64,137.4921142,nan,116.9795812,346.7601796,15.73686806,9.488988426,6.235321759,2.851212963,230.8634907,110.3509653,210,285,309
2006,7.467714054,3.222529863,49.33479224,96.62651479,7.949407534,8.718914384,78.09012599,19.1225274,3.501728311,1111.83,134.7815491,nan,107.4837087,363.7808523,16.6007963,11.12081944,7.333275463,3.194113426,233.5683565,110.0930509,208,281,320
2007,8.370250351,3.448226301,57.33663756,106.6241696,8.109458904,9.054773973,78.34450397,17.95278368,3.318767694,1338.12,140.5910919,nan,58.79051068,409.9816,15.26975694,7.028594907,5.167310185,2.172270833,213.6847708,106.8124907,176,281,312
2008,7.811853035,3.528004372,67.93917862,103.3355971,7.588072063,9.133368056,78.56091738,20.2026201,3.050836749,1189.74,135.9199528,nan,109.8910078,430.0962644,15.58914352,7.859594907,5.490907407,1.964023148,224.877831,100.6211551,203,267,308
2009,8.231853129,2.779809315,72.52440183,103.2755029,7.919631279,12.53369749,78.17507161,20.06418721,3.365030822,1127.85,140.5607648,nan,71.06647962,392.6215094,16.25149769,9.473872685,5.853689815,2.825162037,235.1081111,109.1218009,170,281,304
2010,8.272892237,2.870087671,76.20559532,96.55673889,6.805444635,10.78231906,79.92117847,24.36364269,3.025502283,1233.9,132.4123933,nan,98.89159557,421.3044865,16.2973912,7.76169213,5.933430556,2.294032407,219.5552963,105.201669,221,291,327
2011,9.319021693,2.675703014,59.25136301,117.9286548,8.786905251,11.47546804,76.46747486,22.49492409,3.778721461,1092.36,148.9881467,nan,81.76324061,422.6751485,15.60638657,9.408858796,5.946888889,2.762861111,223.7984398,113.4474097,200,289,312
2012,8.557178814,2.58092459,62.31775672,110.7303742,7.755481557,9.955454804,79.11736785,24.62924636,3.272488046,1379.34,138.1468164,nan,111.0343017,445.1993605,16.5157338,8.572275463,6.152039352,2.141962963,230.3494282,93.2334537,194,288,315
2013,8.205704714,1.990430137,60.02253196,104.1028364,7.1055,8.974735731,80.80754212,25.92360902,3.112252854,1199.28,135.6531604,nan,115.8233192,434.8870833,16.60969907,8.729671296,7.1800625,2.299951389,250.5202546,99.74801852,186,282,302
2014,8.019117742,1.991564932,57.99797603,109.6075221,8.703917237,10.3191855,79.13133017,23.68874087,3.208497146,1106.76,142.9128179,nan,84.97592091,378.1715578,15.33562731,10.35061574,5.735951389,2.235256944,229.500588,110.9752176,202,279,310
