Year,GPP,RECO,LE,H,Tair,Tsoil,rH,SWC,VPD,P,Rg,Rn,SOS,EOS,Tair_s,Tair_a,VPD_s,VPD_a,Rg_s,Rg_a,EOS_1,EOS_2,EOS_3
1996,6.887278587,2.72920781,25.50744578,84.08264879,3.3935783,6.649817516,79.76991964,14.79176454,2.497015996,482.99,91.16755507,17.17790459,nan,nan,14.17857407,5.779511574,5.650013889,1.218990741,182.670206,37.01446759,nan,nan,nan
1997,4.092677033,2.134544658,23.93839954,78.09596762,4.275392123,4.754751142,73.49365509,25.76670148,3.183033105,474.86,108.5351558,55.24618729,112.4309951,294.4238996,16.84582407,3.902300926,7.709199074,1.8090625,220.1627361,53.89621528,nan,nan,nan
1998,4.168,1.969632877,17.18743037,67.21362296,3.432843607,4.61749258,81.20060781,31.38194521,2.094489155,614.75,108.485387,56.18296551,91.80508949,298.1012016,13.44708565,3.894581019,3.667055556,1.358756944,196.1744167,56.47058796,nan,nan,nan
1999,3.860859793,2.224104658,17.71728767,76.00193864,4.333545091,5.113208333,78.62302743,26.86684247,2.911521689,459.4,106.0136353,68.02637653,90.90121469,290.0698758,15.59728009,6.007099537,6.787516204,1.74369213,219.1277083,55.85510648,nan,nan,nan
2000,4.415459598,2.292626776,21.26570867,70.7959922,5.307232468,5.468932719,81.09040175,32.83664333,2.386934199,659.69,100.3307184,53.71781239,83.16219893,302.4476543,13.87814815,6.817715278,4.561833333,1.620962963,185.37125,58.93013426,nan,nan,nan
2001,3.960000804,2.159358356,23.047746,69.99223144,3.872964612,4.921017123,80.05184438,31.69136587,2.512976027,607.94,94.87664669,50.44898362,88.42795757,292.6704439,15.31961574,5.410641204,5.800708333,1.539118056,197.7325162,45.00348148,218,250,278
2002,4.394988502,2.319306849,25.79053824,76.80771652,4.367612443,4.860221461,76.40272795,26.9672774,3.219050799,328.55,106.1404949,56.23434962,85.24360662,295.0944141,16.83857639,2.196951389,6.736935185,1.806712963,200.8735532,58.61463657,196,269,304
2003,3.783530522,2.23982411,23.38425514,67.44905821,4.23465468,4.841028539,79.27939372,24.35181279,2.612651256,481.98,95.73928596,50.18019067,99.28458281,295.4797434,15.50084028,5.111925926,5.325872685,1.739335648,185.3336134,50.79512037,205,261,281
2004,3.963311132,2.109786885,21.35590221,67.30664338,4.224820697,5.386880123,79.6601633,28.37881034,2.709715961,513.69,94.5206176,49.66707461,79.33712255,299.0807846,14.04043287,5.295030093,5.74562963,1.757678241,174.2009259,45.69060185,214,267,306
2005,3.916756248,2.539488767,20.99167808,74.53646265,4.712667237,5.898166667,81.59404608,23.01096861,2.75615411,668.14,105.3932329,54.04115408,86.08866432,281.3135149,15.32250926,6.912076389,5.501726852,1.98712037,196.6219977,57.82691667,217,259,281
2006,3.679100884,2.223904658,21.96854338,88.27668819,4.982530251,5.803346461,77.36825116,17.56800342,3.461429795,504.56,112.4634446,58.38192136,71.98596862,240.8500458,16.79450694,6.165229167,8.727701389,1.538233796,237.8217014,53.51416667,224,288,318
2007,4.590652174,2.381716712,27.01915354,75.05761966,4.905204909,5.868747146,80.12700829,20.49285331,2.714062215,537.76,100.3844098,53.26846095,78.51955955,292.6642705,15.69550694,4.868546296,6.246643519,1.260849537,199.961463,49.23341204,184,251,285
2008,3.875838128,2.140169399,26.10786828,72.53165113,5.106564777,5.560568078,81.29255825,29.02804417,2.397945128,893.67,85.59535007,52.47899864,83.93275133,307.1761019,13.84689352,5.200581019,4.839923611,1.356576389,168.3015394,43.51781713,236,258,279
2009,4.493471511,2.41657589,28.19236758,77.07451201,4.044592466,5.136472603,79.90303623,21.08624258,2.725795091,572.86,94.9703847,55.60107961,90.30800895,297.6388499,14.62181944,4.808104167,5.8820625,1.547259259,182.4398426,49.90852546,219,264,304
2010,4.792397765,2.308992877,30.44870776,73.07466546,2.734640411,5.388964612,74.41990324,20.99055479,3.036180936,717.63,94.39678425,57.59347395,93.57485281,304.7898935,16.82509722,3.917736111,7.51299537,1.458111111,203.739294,44.37798148,nan,nan,nan
2011,5.091778185,2.54598137,26.1755371,79.28753061,5.318870434,6.312184361,84.75979604,25.80718322,2.739742009,773.21,95.79478482,74.26073696,86.84519267,299.5541518,16.78363657,6.855826389,6.238467593,1.271462963,190.6200949,42.99885417,203,255,306
2012,4.854278188,2.375314754,25.48850296,63.94470482,3.300998975,5.647680442,82.70818582,35.60590904,2.085852687,920.17,91.03314549,nan,94.81842982,283.2206123,14.17810648,5.501423611,4.61875,0.790516204,177.3144722,40.13246296,197,265,292
2013,4.680254502,2.492683836,27.05197888,83.52581873,5.088077626,6.083355594,75.71063279,29.87018322,2.98361758,626.85,98.90735502,nan,101.9332874,305.4360544,16.00782176,5.908997685,6.782324074,1.405773148,185.7762384,50.38500231,193,254,284
2014,4.425382827,2.378990137,27.75295034,75.72290253,5.215218037,5.746616438,nan,26.43358904,2.796118151,638.28,95.10140753,29.37943558,88.0623584,283.2298806,15.5335787,5.679377315,5.652233796,1.672263889,188.8998634,48.60852546,240,274,305
