Year,GPP,RECO,LE,H,Tair,Tsoil,rH,SWC,VPD,P,Rg,Rn,SOS,EOS,Tair_s,Tair_a,VPD_s,VPD_a,Rg_s,Rg_a,EOS_1,EOS_2,EOS_3
1996,12.19126991,2.344603404,43.46693345,161.2791671,5.269301531,3.290724772,69.00614877,nan,2.936906131,1529.81,161.1973854,111.9692774,nan,nan,12.67524306,6.871268519,4.982525463,2.687041667,282.9187222,120.0628773,nan,nan,nan
1997,6.320447196,1.604838904,19.34194806,125.6957957,6.648836187,5.260635274,60.43802092,nan,4.245700913,1139.62,151.461286,79.8563942,120.835589,270.2405123,14.96988194,8.279525463,6.135956019,3.119680556,251.2790093,132.7910394,nan,nan,nan
1998,4.637204043,1.673515068,23.26469806,121.4404829,6.658668379,9.684033105,72.529244,nan,3.557189498,1237.73,167.6864389,97.05063544,115.5936594,257.3952762,16.53337037,7.685101852,7.686935185,2.18455787,281.558956,117.8771921,nan,nan,nan
1999,7.225815789,1.743816438,34.67667751,115.1099784,7.946742009,4.332454909,74.27517389,nan,3.410452626,1380.62,168.6436341,79.75371598,74.18271087,311.9183223,16.10897222,9.62525,5.508486111,3.788474537,272.1355301,141.4482477,nan,nan,nan
2000,6.777418977,1.876219126,32.48006204,116.343898,8.630831626,4.474250342,70.33398529,nan,4.349356216,858.12,168.242508,91.53741241,117.4400684,318.9353312,16.50318056,9.576539352,9.324185185,2.951476852,278.9026227,120.1343519,nan,nan,nan
2001,4.662613579,1.592109041,24.61651199,114.4163818,7.962059361,4.537471461,71.37767416,nan,4.075544521,778.29,166.6982951,84.9793631,123.6141896,301.0645811,16.02117593,8.767715278,8.216548611,3.6389375,286.4863472,147.0345556,188,271,301
2002,4.18164115,1.637037808,21.27494463,106.9687475,7.615424087,3.47151484,74.79489424,nan,3.046014269,1270.19,161.4668938,100.4349068,115.7691057,234.3026128,14.65761574,8.246534722,5.140946759,2.435659722,247.3729213,125.7302523,201,267,290
2003,8.133542975,2.121830685,3.6,30.89,8.175219749,6.811094178,75.27858815,nan,3.742313927,1619.28,176.0548213,146.145721,85.71057513,266.9542807,18.58156481,8.700939815,7.575358796,2.344868056,278.1163889,129.0543148,215,283,305
2004,8.082139405,2.439319126,37.28951329,151.7008877,7.27890255,6.347067964,83.35589512,nan,2.949458106,1433.26,167.5500433,nan,151.8388438,323.3123875,15.31476852,9.520136574,5.627527778,2.812002315,273.7277269,140.4381759,213,277,312
2005,5.528843521,2.026069589,23.71201027,121.6153354,6.66461758,5.719310502,81.56948943,nan,2.576826484,942.2,173.2275811,94.47950355,119.4775159,326.462199,14.98065972,8.202354167,5.204925926,1.651699074,289.5285532,123.4938542,209,272,305
2006,6.672807476,2.389366575,32.57127568,90.7564211,6.976300799,6.054594749,74.68313269,nan,3.228389269,849.68,179.6984463,65.82888441,105.8279,310.4368406,14.09822685,8.824664352,5.310365741,3.110303241,269.3392847,156.6255764,212,275,300
2007,5.672894261,2.024811507,28.73071404,126.949196,7.309356735,6.514496575,74.74962767,nan,3.506777397,795.51,183.1492021,92.94227922,97.21769818,319.6559955,15.33262269,7.132247685,6.961925926,2.960020833,302.4563704,143.1979815,187,255,299
2008,5.058267637,1.860455738,27.64577413,133.1240517,7.078814891,5.919401184,76.88045941,nan,3.097385587,1194.13,174.018154,106.5497188,124.8611122,310.7426491,14.84629167,8.367527778,5.315585648,3.146155093,288.2133264,150.1706181,225,276,321
2009,6.99777968,2.204604932,30.90394749,136.450343,7.078195205,6.028897831,78.24148913,39.81512686,3.119820205,1208.68,176.8309258,101.1327466,118.8631674,318.6060857,15.36787963,8.338923611,5.862048611,2.944479167,292.6268773,148.8394051,197,275,301
2010,6.032634819,2.092785753,35.90763356,128.5219925,6.581363584,5.807364726,81.34808081,31.60351826,2.875221461,1462.8,164.7149458,108.9830105,123.1019108,304.3590359,15.09243981,7.913780093,5.494520833,2.547766204,277.8779769,122.1813356,225,279,302
2011,5.552987387,2.038549041,32.22607763,137.2857435,7.233748288,6.471232306,75.6237669,33.44193094,3.355166667,1088.96,188.760266,97.36342322,121.5550186,307.5275997,14.86631019,8.714037037,5.259956019,3.584863426,298.7077523,165.0169884,198,281,306
2012,6.814264402,2.178055191,26.69155908,148.203353,7.639780282,6.736400842,69.77541626,29.47518613,4.021801002,1013.52,188.1041251,117.2819936,98.94320323,333.0828729,17.03997454,9.679791667,8.616076389,2.985810185,317.9768843,136.2023634,203,287,315
2013,7.724618945,2.459870137,34.53240297,139.9211582,7.1511621,6.006336187,76.62042345,30.32218265,2.980693493,1348.39,172.2715479,107.0281749,77.27812337,312.2036345,14.34489583,9.399782407,5.013534722,2.872810185,281.0294815,141.5609421,228,280,303
2014,6.609124053,2.506431781,42.64753482,129.2179222,7.576978881,6.45313984,77.65870893,32.65377055,2.768708333,1243.79,172.680347,105.2045922,119.7197342,312.308574,14.1884375,9.334618056,4.684784722,2.412136574,275.3726505,142.5577454,214,280,311
