Year,GPP,RECO,LE,H,Tair,Tsoil,rH,SWC,VPD,P,Rg,Rn,SOS,EOS,Tair_s,Tair_a,VPD_s,VPD_a,Rg_s,Rg_a,EOS_1,EOS_2,EOS_3
2003,5.400576197,3.360924436,39.08285176,75.44567599,5.612737028,10.7148262,70.67913616,nan,3.082002397,753.59,175.6667418,51.57806193,102.8347404,302.6903518,15.71465741,5.282020833,5.103696759,2.256615741,269.667581,130.3520347,181,271,297
2004,5.655408844,3.226549727,31.25654941,63.95991101,4.901115096,7.020109859,75.57842087,50.30231437,2.314446152,931.77,159.0442276,41.73727425,130.2661805,334.4685239,12.85145602,6.913451389,3.395773148,1.989520833,245.6539745,123.5478171,201,273,310
2005,5.638570168,3.534470685,36.07182648,67.97234126,4.38692637,7.410827055,74.70633101,51.86423744,2.309466895,881.9,160.7527135,39.77922146,102.8704585,353.2996274,12.74309954,5.998155093,3.562724537,1.556939815,242.6861088,116.4912685,190,282,326
2006,5.987357535,3.40756,36.82478995,64.88966299,5.347256279,7.425754566,75.54807072,56.50740068,2.476374429,732.6,152.8144561,39.608371,116.11705,nan,12.96199769,7.658770833,3.987469907,2.453219907,241.9667338,127.3992546,190,292,333
2007,5.771014949,3.305152877,38.91765639,69.92782965,5.803083904,7.206369292,74.61224658,50.26056507,2.580452055,1018,172.6467061,59.29845468,95.31239388,nan,12.93922917,5.156465278,3.321168981,2.188569444,255.2000486,143.0669931,183,279,314
2008,6.104665449,3.382971038,32.73727231,57.92204245,5.267065118,6.97029087,81.218897,52.03282844,1.874341416,1326.07,161.9534648,51.97212353,115.8255192,357.6803916,12.99425,6.230141204,2.628789352,1.4279375,248.1795255,132.0639375,192,288,310
2009,6.072239986,3.668019726,37.29934817,63.61793103,5.216645548,7.185130708,79.27249612,44.71043265,2.11842637,1040.59,154.1415885,73.1150228,129.0255334,353.3726638,13.60454398,6.069648148,2.938743056,1.736217593,238.6020972,121.7426019,195,286,313
2010,5.555092359,3.272309041,36.48679395,60.09334602,4.170821918,7.039049087,79.5026881,46.14425514,2.016021119,1268.59,157.6080211,63.71499767,123.062966,329.1727263,13.23767361,4.886701389,3.377092593,1.496224537,248.8035949,119.002831,206,296,317
2011,6.540022292,3.74386137,41.08485788,69.33344357,5.895376142,7.763098174,74.79940371,41.1647089,2.550775685,796.67,171.543411,61.82019302,105.5469129,244.0356998,12.89577083,7.105203704,3.084131944,2.236738426,244.1506088,143.0363796,197,288,338
2012,6.063870315,4.006454645,36.86880408,72.29349945,5.54901184,7.723853597,75.63986583,47.12283811,2.493083447,946.17,162.150218,54.50008938,110.1082381,352.6782248,14.34474306,6.833122685,3.737298611,1.73843287,253.5627824,116.0249144,191,293,334
2013,5.645582232,3.717527671,33.28772203,60.1362611,5.127555936,7.302490297,80.66884876,45.93565639,1.932797374,1018.57,152.43398,50.29705234,111.0795494,300.8593729,13.30661574,6.778006944,3.350097222,1.211756944,252.587787,112.368213,201,285,326
