Year,GPP,RECO,LE,H,Tair,Tsoil,rH,SWC,VPD,P,Rg,Rn,SOS,EOS,Tair_s,Tair_a,VPD_s,VPD_a,Rg_s,Rg_a,EOS_1,EOS_2,EOS_3
1996,6.085036172,3.421435737,35.46582627,98.48332669,8.221860876,11.14550808,88.11080414,nan,2.459089201,710.36,115.2086822,42.37662334,115.2730268,346.9233139,16.30853241,9.711671296,5.222594907,1.388435185,200.1929375,77.75412963,nan,nan,nan
1997,6.505106366,3.453629589,40.10637158,100.5451705,9.796168379,9.68925,84.71748713,nan,2.555136416,768.05,113.0803801,64.43143412,20.76620365,328.4394429,17.62934722,10.06398611,5.166435185,1.835296296,199.489169,85.36203241,nan,nan,nan
1998,6.252796367,3.50096,32.47038756,92.24788522,9.809989155,10.01883333,89.49367855,13.12473729,1.794613014,1273.59,99.93393893,63.09223642,11.21833636,314.8224176,15.69848611,9.209678241,3.119726852,0.731208333,176.1197014,62.88100694,nan,nan,nan
1999,6.08437372,3.460261918,47.61659075,107.3261328,10.42287215,9.879168379,88.4166114,12.92545148,2.161315639,909.42,116.9290365,67.40262936,77.43347859,349.7329873,16.72084722,11.47910417,4.26725463,1.513215278,203.3759792,83.34835185,nan,nan,nan
2000,6.401990858,3.811760656,46.70917748,100.0835389,10.42198827,11.1819786,90.82889879,14.75082821,1.704681239,1051.12,107.6162437,61.72673927,35.06685353,316.3966352,15.91934722,11.3998125,3.152685185,0.781958333,195.3462616,71.00110185,nan,nan,nan
2001,6.446909621,3.58069589,45.06054509,93.52814897,9.68772089,15.19547203,85.63655778,11.49011473,2.566190068,1161.31,113.0177774,83.49961067,67.87043051,333.9413808,16.95580324,11.52618287,5.033041667,1.912944444,201.2456204,74.12589352,nan,nan,nan
2002,6.320248517,2.951906301,41.09949258,94.06434583,10.43095548,14.12730365,80.48652265,7.687214612,3.174694635,986.7,111.7089532,63.51803336,nan,336.8997936,17.34980324,10.7024213,5.367060185,2.554828704,184.6717523,84.0420162,218,279,337
2003,5.940759004,2.82113589,37.45602683,109.810409,10.2770468,9.761244863,75.22025748,10.20252854,4.221777968,663.6,128.7224315,72.20014135,39.03909424,323.6995335,18.78435417,10.1270787,8.010344907,3.099928241,224.114213,89.05390741,215,264,331
2004,6.832711222,2.957356831,46.19634335,88.35752855,10.01226321,10.07327698,78.37736848,8.349277664,3.460550433,984.2,114.276698,75.32293052,94.14587222,347.5049734,16.83083333,11.04716204,5.706490741,3.152854167,193.0104028,88.43992361,nan,nan,nan
2005,6.712333488,3.227030137,43.86018893,95.23419735,10.25966267,10.45212957,82.74190968,6.194770548,2.914263699,796.58,119.6460947,87.61347324,48.20042815,330.9695219,16.26805324,12.41882407,4.639541667,2.786618056,196.9028241,96.26271528,nan,nan,nan
2006,6.054754966,3.010844384,45.13126142,96.53043671,10.64189155,10.35429966,81.94850668,7.042509703,3.387469749,827.31,117.353016,84.01675799,61.66833981,330.9619613,17.98407639,13.37003009,6.741099537,2.638881944,216.9071319,81.77455556,nan,nan,nan
2007,6.067224009,3.255091507,46.57482192,98.86030627,10.6561855,11.12027511,83.50396997,8.293684932,2.759820776,1031.99,114.3444463,83.30898141,nan,315.7805564,16.71028241,9.954333333,4.02549537,1.570506944,187.4443287,76.60563426,nan,nan,nan
2008,6.2499735,2.908926776,44.74284324,105.1115488,10.06102288,11.29610143,83.52504985,8.50019638,2.757077072,632.59,115.7173253,85.0252169,36.65957447,354.9587632,16.68930324,10.44849306,4.34375463,1.743701389,191.6886435,82.2396713,211,298,324
2009,6.343477747,2.740320548,44.50609989,106.7343646,9.989586758,9.954102169,84.20145713,6.489192352,2.793340183,613.61,120.7315611,87.43071811,32.81630757,317.4277307,16.9220787,11.40382407,5.219335648,1.918666667,212.8596458,81.25622917,227,294,337
2010,6.357919905,2.7782,40.37075799,104.3447064,8.507719178,9.208447489,85.58751713,7.901706621,2.522650685,473.4,117.2610114,86.44358452,27.36643766,329.5636837,17.43948611,9.906488426,5.520763889,1.294821759,213.6492778,75.6041088,245,292,337
2011,6.458521235,2.749910685,41.61739441,100.8526597,10.3979589,10.55114954,84.61572595,8.230822489,2.652431507,886.2,117.3928699,84.21486868,32.26229726,334.7837488,15.83071991,11.24475,3.497363426,1.801905093,180.2516597,85.15796296,nan,nan,nan
2012,6.268030829,2.663977049,43.19697917,95.92927655,9.751149818,10.46444786,86.68765048,7.877168716,2.267308174,788,113.3646095,82.75590013,28.61593287,324.0037141,16.34718981,10.42359722,4.191224537,1.611391204,193.5859769,82.6245162,222,290,336
2013,6.326406926,2.496699178,40.6576758,105.3181538,9.28130137,9.970478311,85.80311483,7.550628995,2.369688356,593.84,114.7621724,83.00534505,108.0331853,347.8910469,17.19852546,10.89547222,5.083002315,1.470361111,211.7504838,79.45864815,nan,nan,nan
2014,6.561926591,3.06848,44.82953938,93.74754189,11.17321461,12.15857877,87.78664313,8.426003995,2.203330479,593.97,117.5368881,84.13269856,57.33909679,364.5463169,16.73863889,12.51158565,3.840759259,1.258752315,202.8148935,83.10446296,210,317,335
