Year,GPP,RECO,LE,H,Tair,Tsoil,rH,SWC,VPD,P,Rg,Rn,SOS,EOS,Tair_s,Tair_a,VPD_s,VPD_a,Rg_s,Rg_a,EOS_1,EOS_2,EOS_3
1997,4.295685421,0.922974873,67.00116673,85.33706081,11.40612078,19.93401685,51.68010099,7.769588213,8.253870655,1184.23,214.3332256,157.5620406,129.1201528,253.2437255,18.45640741,12.39049306,11.81689583,8.592449074,315.7604815,174.5675995,nan,nan,nan
1998,4.372267095,0.734457534,55.50601712,74.85301333,9.656686073,11.37858676,62.19836974,24.80120091,6.977265982,2020.61,191.4308379,129.8746605,85.89643422,285.7656158,17.84966435,11.23871296,11.92709259,7.602888889,321.2854884,170.5523542,nan,nan,nan
1999,5.205996058,1.482267945,78.22724429,129.8430671,11.12052683,12.63099543,47.76608931,21.38465126,8.536266553,1206,209.9868487,130.9267456,115.1334235,248.1268926,17.39296065,14.58916435,11.51974769,11.25346759,313.9971204,178.9649375,nan,nan,nan
2000,4.255097079,1.004605464,51.03863388,120.46447,10.87382286,10.09814435,59.55211457,27.38494479,7.978659495,1474.94,208.8827897,108.9354999,69.90800585,351.0184897,18.91896759,10.88058102,14.09711574,7.862708333,341.3016343,176.0418241,nan,nan,nan
2001,5.255777761,2.569453151,46.45080365,130.6424389,11.63360445,10.36465639,52.94425061,23.35905023,9.113885274,1209.36,223.7522768,112.7848786,66.04288797,335.0754631,19.46664583,14.45991435,15.20225231,10.77321065,350.0306944,191.4188958,nan,nan,nan
2002,7.136833893,2.833306849,51.99346461,112.7065815,11.32492865,10.09601199,52.64952519,23.01520434,8.61159589,1254.47,221.77577,118.6599644,90.27801504,271.2265122,19.72179861,13.66741204,14.43639583,10.57436111,350.6706736,193.0152222,nan,nan,nan
2003,6.368869619,2.165004384,50.42298002,103.6642486,11.57247089,10.34841381,55.65273428,22.06328082,8.858065639,1285.78,213.8000959,110.2827732,103.488483,304.4314178,19.77545602,14.10143981,14.23024537,11.7776088,339.4549468,194.2526528,nan,nan,nan
2004,5.689510307,2.862922404,52.44863559,129.3781809,11.34845799,10.01023566,52.49485872,20.63962944,9.120583447,1056.92,213.8816786,119.1294548,31.79076212,250.2633288,19.31220139,12.0995463,15.87610185,10.16845602,329.9992917,175.002912,nan,nan,nan
2005,6.954777056,3.937996164,54.56247032,102.087265,10.98778596,8.948721461,60.18308486,23.14983904,7.937349315,1880.61,202.1136096,116.9767168,14.90448272,348.3304056,18.75015046,12.4465463,13.7375463,8.745814815,335.7813356,185.0736713,nan,nan,nan
2006,6.319155549,1.800914521,63.86611073,102.1571355,11.01880765,8.000614155,59.65072783,21.37844863,8.917692352,1636.42,200.5184743,97.4182406,96.88672004,360.5042217,20.07841435,12.77641204,15.81513426,9.81168287,329.915581,177.2531227,nan,nan,nan
2007,6.916534374,0.748063562,66.51884418,135.2071433,11.28876884,9.633635281,52.16324105,17.07188222,9.024863014,902.05,220.7377757,131.2244075,nan,257.1537135,18.88676852,12.10243287,14.38997222,9.2128125,337.2472593,180.8603519,nan,nan,nan
