Year,GPP,RECO,LE,H,Tair,Tsoil,rH,SWC,VPD,P,Rg,Rn,SOS,EOS,Tair_s,Tair_a,VPD_s,VPD_a,Rg_s,Rg_a,EOS_1,EOS_2,EOS_3
2008,1.467840806,0.413051927,25.83177279,83.96617306,-3.577466272,nan,nan,nan,2.779957306,460.31,103.1805192,57.98382335,44.09635206,252.7800993,10.15466667,-5.36568287,4.359203704,1.877701389,194.0646759,53.33253704,217,242,267
2009,1.649997602,0.767276712,36.58854234,45.34812047,-2.115156393,nan,nan,nan,3.4206621,358.25,112.9503025,74.52567993,137.2109853,241.5687788,12.22886343,-3.294875,6.339011574,2.284479167,218.511625,52.81989583,220,252,291
2010,1.465146724,0.498189041,24.44972478,50.67771982,-1.979426941,nan,nan,nan,3.260459475,436.96,110.4522289,76.13669444,116.8535222,280.9969071,12.05774537,-1.110766204,4.774805556,2.399740741,191.8099167,62.71833796,220,247,265
2011,1.769178916,0.818772603,19.50105537,39.27373485,-2.240449201,nan,nan,nan,3.088965753,369.3,115.2277403,61.82865269,142.2850694,246.2075099,11.08952546,-3.828430556,4.94112963,2.457349537,201.3642245,60.49775231,210,235,286
2012,1.718676587,0.656255191,22.17277265,43.02990439,-3.91561077,nan,nan,nan,2.930807149,388.86,117.7381068,64.4661844,149.2320064,248.2864665,11.72294213,-5.051701389,5.428194444,2.111685185,207.9539491,60.5544375,226,253,384
2013,1.63339853,0.602169315,15.5333105,44.57138264,-1.825255137,nan,nan,nan,3.422306507,323.4,129.7853453,63.45570933,140.2511093,264.9513283,14.00491667,-1.009930556,7.593030093,2.258534722,234.0513981,50.4002037,227,253,279
2014,1.708333712,0.87293863,19.67337557,51.32793805,-0.322266553,nan,nan,nan,3.175570205,384.41,109.7839949,56.01508105,96.35053312,273.5644191,11.30366435,-2.230418981,5.227282407,2.035766204,186.3127014,62.10460185,220,246,271
2015,3.143625804,1.478233973,27.70964309,60.78044824,-0.5717871,6.013505338,72.07417432,66.27703252,4.76719121,419.89,112.4511667,73.53224666,117.8250783,314.5657593,12.00436574,-2.022516204,11.02297454,2.900238426,200.7906551,49.59090741,215,245,280
2016,1.415048926,0.640178142,22.98043309,45.22480928,0.255606785,3.48692243,69.01741006,38.57446857,6.135222564,507.07,113.2258151,58.01245126,110.0538696,276.5882509,12.86628704,-0.540083333,11.37159259,5.207152778,194.2718565,68.7831875,203,242,272
2017,1.778182612,0.821384658,22.58264555,44.47766575,-0.636558219,3.530744664,68.13295491,41.71318746,3.387388128,414.13,127.6013025,64.77532691,117.7140492,261.5098141,13.35733565,-0.962946759,6.299548611,2.491462963,225.4908796,56.81415741,219,250,272
