Year,GPP,RECO,LE,H,Tair,Tsoil,rH,SWC,VPD,P,Rg,Rn,SOS,EOS,Tair_s,Tair_a,VPD_s,VPD_a,Rg_s,Rg_a,EOS_1,EOS_2,EOS_3
1999,0.319252681,0.048524966,nan,nan,0.028203665,nan,nan,29.40112568,3.519678635,460.26,187.8918112,nan,nan,nan,9.373550926,1.31700463,6.205259259,3.835458333,266.1024144,163.9770185,nan,nan,nan
2000,0.318799724,0.05272483,nan,nan,0.278635587,nan,nan,22.31310635,3.804357354,251.24,187.939346,nan,nan,350.5535763,10.53750694,-0.236601852,7.447564815,3.30993287,276.2522153,156.9889745,nan,nan,nan
2001,0.316167665,0.052094326,nan,nan,0.350549658,3.897182145,nan,25.56932705,3.624127283,261.89,186.3722169,nan,nan,359.9841844,10.01636574,1.897648148,6.707868056,3.574030093,269.4689931,153.1485579,nan,nan,nan
2002,0.326327047,0.05186794,nan,nan,-0.243560502,5.179774418,nan,22.54951826,3.814375571,214.75,193.0611804,nan,nan,342.2791852,10.84912037,-0.086509259,7.777625,3.167261574,277.9035093,151.0168935,nan,nan,nan
2003,0.319093847,0.052577874,nan,nan,0.433015411,3.991298503,nan,27.42997203,3.815013128,285.22,187.8875137,nan,nan,356.6676179,10.37607176,1.150680556,7.337863426,3.589414352,273.5568009,154.0429514,233,289,349
2004,0.310018163,0.352912717,34.43026954,201.3259219,-0.000800319,3.485402879,nan,31.91513377,3.3890625,380.35,184.9751093,38.3808154,nan,nan,8.375136574,1.165868056,5.720391204,3.144905093,258.6946343,152.3581644,235,260,299
2005,3.653269813,1.077940822,55.23575742,165.2640719,0.503525685,3.317383983,nan,29.17440868,3.736313927,241.66,195.9405879,105.7831621,73.5861627,318.1355506,10.4054838,2.667993056,7.253418981,4.200708333,278.9915972,165.7387731,227,268,310
2006,4.016655611,1.607532055,58.35400228,158.0692051,0.140731735,3.098721253,61.23868003,30.02988484,3.643658676,257.59,190.7083904,101.9091906,126.2080238,317.0101782,11.65515509,0.199606481,7.590537037,3.015048611,274.3662731,151.2824769,236,270,296
2007,3.844959016,1.779427945,53.73471461,158.6900591,0.67415411,4.094135437,57.15095263,33.81845548,3.980909817,291.64,190.8611301,104.6009207,97.31268284,290.0770146,11.89221759,2.500844907,7.933689815,4.215194444,271.0101157,169.7925694,222,268,295
2008,3.159168126,1.675475956,50.9223873,167.1924818,-0.959115437,3.565141464,56.9407804,31.94878679,3.694778575,198.25,189.7675774,108.0351548,74.90955744,312.317866,10.465625,1.999386574,7.80650463,3.926724537,280.4690741,163.4292361,225,249,294
2009,3.355096465,2.015586301,47.94490696,171.0395443,-0.618015982,0.446805686,56.30080537,31.47751484,3.559768265,255.81,187.2100571,107.1128767,121.0604031,295.2973317,9.282111111,0.720407407,6.501696759,3.776446759,274.3922153,152.3922847,224,263,339
2010,2.153420883,2.086909589,44.17540696,176.351075,-0.025402397,4.173762583,58.00072489,31.70163682,3.674042237,206.76,184.8181547,105.9525103,145.1930588,301.2879476,10.51723843,2.109081019,6.793319444,4.447645833,267.6189282,164.5867315,232,259,296
2011,2.595611737,1.548408767,42.08679395,177.644131,-0.651432078,2.903129092,60.37325057,35.30123795,3.437589041,224.67,186.5826963,107.5268259,175.7827271,323.7088659,11.07236111,0.949525463,7.56287963,3.445002315,286.8488727,158.4898079,240,270,380
2012,2.75347035,1.440901639,39.19608948,194.1233681,1.367816485,2.870138498,53.15457081,28.64166018,4.513595173,188.47,193.6074368,105.9040881,131.4271432,299.7558203,12.55514583,2.613868056,8.995428241,4.267877315,271.0083287,167.7647801,220,253,329
2013,2.834076601,1.409915068,39.92791667,174.761415,-0.235310502,2.549729429,58.0034355,31.3530351,3.696298516,295.24,181.9624486,110.8084932,105.8629891,299.0247993,11.79589352,1.071460648,7.931796296,3.174851852,269.7655903,144.4692454,222,251,273
2014,2.974582368,1.537390685,40.51315126,174.6608909,0.07013984,2.87611028,59.03130879,37.12616668,3.571401826,299.57,183.6305462,102.6577871,83.52984329,319.5315197,10.15912731,1.760594907,6.755465278,3.732180556,267.6498634,159.2729421,nan,nan,nan
2015,3.329363884,1.390821918,36.59056221,173.9632338,1.191178653,4.531572405,57.53928425,nan,3.906120434,268.36,184.4426256,110.5123402,117.4657874,304.796667,11.25786343,3.254951389,7.332314815,4.437689815,267.2757917,157.0450648,225,256,285
2016,2.910454844,1.122175956,35.99768841,175.9525051,0.819304417,-0.005,56.09502334,nan,4.078218921,120.23,183.1413673,162.7562457,128.9957521,281.7248321,11.73084028,3.826331019,8.5020625,4.418685185,277.1190347,163.1969954,nan,nan,nan
2017,3.598694444,1.483638904,39.8239024,165.2411215,1.001077055,11.37042105,57.19409018,nan,3.902814498,187.48,176.5652266,nan,121.0178987,280.1058596,11.37617593,1.924238426,7.598085648,3.935159722,263.7110694,135.7848588,223,257,350
