Year,GPP,RECO,LE,H,Tair,Tsoil,rH,SWC,VPD,P,Rg,Rn,SOS,EOS,Tair_s,Tair_a,VPD_s,VPD_a,Rg_s,Rg_a,EOS_1,EOS_2,EOS_3
2000,3.751526083,1.979139978,16.36822366,64.94403301,3.318921273,5.685793561,nan,nan,3.192943587,493.4,145.8506182,48.02610903,nan,282.7558944,14.84462963,7.096578704,4.662958333,3.127553241,219.6818727,121.2071759,nan,nan,nan
2001,2.76591646,1.473486575,33.76299429,63.21068036,6.547234018,6.910034362,nan,nan,2.840329338,647.58,147.4720091,58.96306248,123.7530698,284.4871095,19.38462037,9.181078704,6.019178241,2.769497685,230.7712731,113.9571898,229,265,294
2002,2.731538547,1.311046575,30.14273573,57.72778069,5.905928082,5.812586817,nan,nan,2.257681507,906.83,146.3579623,58.98612965,142.7890024,275.1623599,19.69948148,7.1390625,4.893208333,1.888287037,236.4776829,102.2148495,227,265,298
2003,2.629952376,1.176535342,28.44715183,70.6351745,5.480068493,4.115540324,nan,nan,2.464600457,557.52,151.8953476,64.83313981,142.4430941,278.644727,19.21071296,8.037185185,5.585094907,1.746574074,239.1878657,115.4642269,229,268,301
2004,2.739120101,1.162295082,23.42529998,68.74339011,1.879944786,5.289611498,nan,nan,2.818269012,579.79,141.9868306,63.80614208,148.3892693,277.2717798,13.31847685,7.220099537,4.620895833,3.146583333,226.7729977,115.2605278,234,271,301
2005,2.804933892,1.40467726,23.68377911,70.9992165,2.106453767,6.569020434,nan,nan,3.354486872,604.86,152.0986273,72.14550396,142.5509491,290.3314819,16.15807639,6.011104167,6.284645833,3.005243056,248.2531921,114.7322824,223,263,290
2006,2.744338983,1.462643288,18.74146804,72.47597912,0.233172945,6.930852469,nan,nan,3.668460616,406.24,153.3464475,67.42031469,133.6776872,279.6002719,11.70365046,-1.758800926,8.133541667,3.646298611,257.598088,114.0232523,218,259,284
2007,4.442467066,1.627648219,16.81326769,82.36719517,0.771093607,6.759057536,nan,nan,4.056955479,621.47,156.0465257,86.63539963,28.35563921,281.123674,12.39579861,4.248555556,8.267662037,3.743439815,256.5049468,111.2044491,224,262,300
2008,4.276095972,1.820512568,10.96665831,69.95448802,-3.195198087,6.228387077,nan,nan,4.0134523,752.23,159.8444923,78.01641963,152.8504495,288.5637119,8.72574537,1.238289352,8.058576389,4.239,253.2395972,123.3469769,229,272,307
2009,6.682517038,2.418038904,nan,nan,2.587064498,12.55300564,nan,nan,3.497607557,544.05,148.9281227,104.7078689,nan,325.6543716,14.40581713,5.935604167,6.337096095,2.83505489,227.7589514,107.044581,237,270,293
2010,6.226581131,2.242416438,22.22769667,138.0408706,4.434617009,12.9315755,nan,nan,4.397523973,803.7,157.2748333,75.22222821,13.93688954,271.952562,17.09861574,5.702391204,7.104377315,3.856736111,236.6966181,123.5919907,224,261,307
2011,0.714473805,1.240871781,nan,nan,3.510960046,nan,nan,nan,3.814947268,549.37,147.8094817,nan,nan,340.0136404,17.12874537,6.43025463,7.581641204,3.212671939,239.6568681,108.6650833,224,265,310
2012,0.61589548,1.304067213,nan,nan,5.330761043,nan,nan,nan,4.607887459,476.94,154.0944934,nan,nan,345.0355656,17.8000625,5.632650463,9.314717593,3.577861217,248.4366296,115.5368681,221,264,295
2013,0.496589999,1.195248767,nan,nan,2.017815639,nan,nan,nan,3.380261122,594.92,143.7175137,nan,nan,334.4680319,15.53600694,5.639969907,6.451636787,2.993407407,227.7060648,108.8187431,221,271,296
2014,3.049405498,1.280907945,36.76305141,58.61914085,2.859039954,nan,nan,nan,2.771903539,763.75,142.5300029,88.4835567,138.6186326,294.1133137,17.48987269,5.509960648,5.236060185,2.083486111,222.0544144,105.718456,221,263,287
2015,3.189519972,1.418658082,37.58251998,70.78601193,5.54222089,nan,nan,nan,3.171071877,850.43,151.2416587,90.91590892,129.6405705,287.3567268,17.57061111,9.615659722,5.456905093,2.883525463,234.7295185,115.6813565,225,263,289
2016,3.772554078,1.627620765,39.07839765,62.12300696,6.252538707,nan,nan,nan,3.070795901,836.96,144.7266331,94.48871253,137.2251315,298.3882127,18.66518287,10.03580556,5.595888889,2.653796296,236.9472037,115.7,211,262,293
2017,3.312989062,1.456061918,39.64275228,63.98685757,5.252956621,nan,nan,nan,2.963241438,879.75,143.3864646,99.70916667,142.9740634,301.5705679,17.42676852,7.846780093,5.580523148,2.673349537,236.7524769,112.4120694,225,272,344
