Year,GPP,RECO,LE,H,Tair,Tsoil,rH,SWC,VPD,P,Rg,Rn,SOS,EOS,Tair_s,Tair_a,VPD_s,VPD_a,Rg_s,Rg_a,EOS_1,EOS_2,EOS_3
1999,9.511188811,2.659413711,39.6312455,92.99576525,11.5027747,11.91315943,66.12357767,35.14351732,5.743973971,1873.88,171.7452035,39.8937449,110.8327368,294.5756231,20.96752315,15.90968056,7.191953704,8.852013889,253.5765509,161.1067222,nan,nan,nan
2000,10.71919878,3.345801093,37.38243056,85.13140207,11.54924408,11.38555043,77.88680909,32.91427596,4.385175888,2392.34,162.5890836,84.83246395,101.8001841,294.4098071,21.71658102,13.72091204,6.229118056,4.646752315,246.1389306,140.45825,nan,nan,nan
2001,9.110555433,3.724619726,39.43605308,88.16151149,13.08351084,11.9225742,76.03982285,40.55428082,4.509525685,2193.26,171.11979,92.24359365,109.7969773,295.7103635,23.30082639,15.14248148,5.773409722,5.076375,244.1496181,153.7467801,192,277,301
2002,10.86475329,3.083128219,36.57758162,86.44249198,13.02477854,11.94464098,73.95611419,39.74297432,5.244715183,2401.48,167.1779349,89.86195217,107.2370895,329.1561118,25.14016435,14.12677778,9.240594907,5.456803241,259.2514861,137.8716157,215,292,316
2003,9.851036339,2.690346849,45.36035331,85.57004957,11.54217523,11.15655479,73.05799186,39.44493208,4.700349886,1778.22,163.9942648,88.47432633,107.705022,310.7762481,22.1767037,14.1081088,6.960050926,5.156381944,248.1305926,146.4305532,226,279,305
2004,9.344533129,2.838713661,41.57918773,87.56182632,12.60107696,11.49695981,71.91209132,39.32624886,5.076281876,1986.72,164.6425137,91.2706546,110.9661706,332.7728276,22.25640046,15.79584259,6.881560185,5.766511574,245.9105694,140.1134769,189,280,302
2005,10.11881326,3.104226301,41.43591724,77.20697201,13.03935388,12.015004,72.21406354,39.82033333,5.5950879,2235.5,167.4587717,92.18259469,106.2432613,334.8317951,24.47367593,15.48508796,8.768104167,5.906851852,254.375875,147.0464259,210,290,314
2006,10.53990564,3.433012055,38.72760274,82.53075967,12.54827169,12.09119121,71.62503994,36.58821404,4.904415525,2692.82,163.9393596,87.9552393,99.06208727,308.4113282,23.02934259,12.25227315,7.443164352,4.041831019,249.8977176,130.7870556,200,282,307
2007,10.80117568,3.431143562,39.62541724,87.81237715,12.82988413,12.26204509,67.8512016,36.65333847,6.529136416,1841.6,176.0860183,94.29493306,112.4973838,324.5118646,23.5933125,15.68163194,10.11356944,7.337344907,264.5699444,148.7893519,215,292,320
2008,10.08081874,2.716097268,37.34988616,87.04016439,11.71577357,11.34191143,68.91884103,36.97369877,5.613898566,2952.4,167.5481808,91.50181223,110.3344835,309.7061292,23.12062963,14.36881481,9.036472222,6.601909722,266.4853426,152.9592778,229,291,317
2009,11.77149688,3.52484274,35.28536473,83.63997378,11.89140354,11.55173059,70.12232213,36.76856221,5.154180936,2447.9,163.3416358,89.56105321,103.5181629,297.2351074,22.26902083,13.60565278,7.555951389,4.664761574,242.2354005,136.0485532,218,278,303
2010,10.486242,2.809489863,41.01176941,90.03139098,12.88636986,12.37103938,67.98117098,35.00566381,6.550367009,1590.04,175.4501199,94.49661155,89.69707259,294.0573018,24.8550787,15.54486806,9.133421296,9.055796296,268.2013009,160.5343287,189,272,304
2011,8.293049129,2.837308493,34.1630097,86.97064817,12.88695776,12.41934589,76.86202841,29.08122888,4.721319635,2462.58,157.3318116,86.8494927,111.7879388,315.0599938,24.77192824,14.36243287,8.197699074,5.366694444,258.8848056,135.1246111,214,280,307
2012,7.932694398,2.520925137,38.0592327,103.8710535,14.13371812,13.03213286,65.48127845,32.59387921,7.4003051,1565.1,177.2025455,94.92359688,91.89622939,nan,24.79980324,13.34039583,14.05431019,5.458106481,266.5798796,145.6102407,181,278,301
2013,10.53995587,3.274525479,33.28605308,91.57591592,11.71376199,11.22046119,71.38017841,36.40230251,4.877025114,2238.4,161.5785491,90.42182582,113.5303187,302.5135948,22.463375,13.8301088,7.468053241,5.087761574,237.1251111,145.6078657,221,284,312
2014,11.48551977,3.421847671,33.50360616,92.69466767,10.95551941,11.02222831,70.91432886,38.07937728,5.041814498,2019,163.1588447,94.30248759,116.2251774,306.8764696,22.50015046,12.37929167,7.463375,5.047354167,232.7058194,133.4708148,214,282,307
