Year,GPP,RECO,LE,H,Tair,Tsoil,rH,SWC,VPD,P,Rg,Rn,SOS,EOS,Tair_s,Tair_a,VPD_s,VPD_a,Rg_s,Rg_a,EOS_1,EOS_2,EOS_3
2002,5.063419938,1.927308362,34.56564416,158.0124242,7.650303099,7.923140345,59.96325507,nan,4.875753661,245.12,195.6271191,114.7342392,nan,nan,16.31594213,8.779606481,10.50952083,5.118833333,313.3278241,158.4133102,nan,nan,nan
2003,3.633843492,1.37278137,33.37713356,139.5395574,8.426928653,8.52707955,63.54058942,nan,5.246523082,278.75,179.7034675,110.464328,120.5718022,235.2107252,17.78080324,9.722365741,11.89718287,5.5955,310.8687037,146.580162,nan,nan,nan
2004,4.474500557,1.434772678,41.16446721,142.6605019,8.308664048,8.080927823,62.55474713,nan,4.366172347,218.29,184.6951958,101.4479316,nan,nan,16.8465625,9.187912037,9.765826389,3.514739161,304.1238426,146.284213,nan,nan,nan
2005,5.34950108,1.873032877,34.90192295,148.764649,7.620861301,8.117634703,62.91823059,nan,4.738848662,534.4,181.0036844,85.26443873,40.0382434,326.4718562,16.29487963,8.232064815,10.32985417,4.106022227,311.9959583,147.8636736,nan,nan,nan
2006,5.472617067,1.446322192,45.32236463,221.2425536,8.093138128,7.915857877,61.92240149,12.75954933,5.342543564,719.86,183.5903602,85.17954556,43.55974843,nan,17.26703472,8.899935185,11.6013588,5.396793981,300.7006898,150.1510324,nan,nan,nan
2007,5.605003432,1.708736986,37.85905479,162.3556524,7.599669521,9.051478192,60.08599253,13.68776033,4.677806566,464.88,185.5359503,92.92782352,nan,nan,15.98655556,8.520011574,9.842268519,4.322414352,305.1887292,147.5960602,nan,nan,nan
2008,5.345181518,1.588886885,42.13292577,152.507893,7.078057832,8.92569503,60.39393842,14.16724023,4.923725277,360.26,185.5983982,102.7986262,nan,nan,15.80021296,10.11276157,10.48098148,5.435946759,306.5471551,148.5667431,nan,nan,nan
2009,5.109140464,1.692593973,51.5537266,139.0648694,7.158626142,7.439371575,63.74621973,15.31800166,5.238473723,489.31,185.069101,92.34088347,89.71715162,268.9953523,16.85268519,8.546962963,11.39059491,4.954041667,299.8903611,147.3871181,nan,nan,nan
2010,5.627756901,2.003931507,51.85988756,152.3679553,7.408324772,0.005568182,68.3525117,16.29101259,4.162272831,660.4,177.8524812,93.38559253,56.96877695,nan,15.90237963,8.731277778,9.294946759,3.512305556,304.9969931,141.8200463,nan,nan,nan
2011,6.020381138,1.567691507,50.10485959,157.7176315,7.040050799,9.835099232,66.08993756,15.66778022,4.272575342,377.93,184.7760485,105.1283112,92.03067477,337.903603,15.26539352,9.922280093,8.222516204,5.467268519,307.8910625,148.7941111,nan,nan,nan
2012,6.048547608,2.122180328,57.22271004,148.9234377,8.459579349,7.67713044,63.01818328,16.55651617,4.775715668,689.62,183.5328865,94.81066889,57.3143747,336.436551,16.83432176,11.27125,9.069210648,6.112050035,304.1522708,153.2078287,nan,nan,nan
2013,5.780846549,3.121043288,38.29920719,144.7520129,8.836537671,8.100880365,59.20790925,16.12665628,4.616533912,510.57,185.9452066,90.17948509,nan,nan,18.15348611,9.352854167,10.17673843,3.855615741,301.3256412,142.0095926,nan,nan,nan
2014,6.298786735,3.373096438,47.01876256,158.2200053,9.651295091,9.571700823,60.49545585,17.08287283,5.284251014,435.6,185.2453345,99.0446886,61.49239339,232.471407,18.18616898,10.92086343,11.24969676,5.497722222,297.8897222,149.0538588,nan,nan,nan
2015,6.046308648,3.361096438,39.20886929,148.8749296,10.25466039,9.387728311,57.88652072,15.69459229,6.174794913,540.47,188.8306627,93.97116794,nan,316.1129337,20.00237731,9.97425463,14.77664815,5.169923611,307.766787,147.8979537,nan,nan,nan
2016,5.289643678,3.484540437,40.54545879,160.1395355,8.574240665,8.837951393,62.23115068,16.32611749,5.009787757,460.91,189.0425712,97.51019264,nan,nan,16.94659028,9.679074074,11.05287963,4.379236111,317.6891042,140.2864537,nan,nan,nan
2017,5.067703882,3.161581918,40.52141553,142.2774111,8.420281393,8.456229042,60.58764448,17.39818017,5.39740498,551.48,184.9233756,93.62077492,53.84863008,344.3753476,19.39990741,9.444675926,12.29928935,5.28150463,313.6945856,135.8150579,nan,nan,nan
