Year,GPP,RECO,LE,H,Tair,Tsoil,rH,SWC,VPD,P,Rg,Rn,SOS,EOS,Tair_s,Tair_a,VPD_s,VPD_a,Rg_s,Rg_a,EOS_1,EOS_2,EOS_3
2007,7.214530167,1.758977111,55.44817385,131.9305685,7.474907244,12.05208668,72.78472236,8.615181047,3.509005711,387.03,153.4083207,84.30234193,nan,nan,19.81038426,11.22566667,6.44975,3.875435185,250.5366551,108.8551389,225,285,308
2008,5.449310712,2.139825683,31.91753131,114.5184798,6.546404258,7.982148224,73.83583909,10.35749772,2.793521127,566.02,150.4300324,71.2953336,142.6131745,321.3111382,18.53281019,9.796372685,4.894965278,3.310270833,238.3368171,115.5907824,235,281,304
2009,5.389018671,2.193642192,29.51991438,113.0946926,6.356339612,7.507358761,73.30906237,11.15342306,2.692120519,560.88,153.184101,70.42188863,132.5154333,306.386348,17.23961111,9.938525463,4.596884259,2.657506944,236.5910093,113.2815162,216,284,307
2010,5.302960293,2.316514521,35.1743339,114.457683,8.403732306,8.858496374,71.40652509,12.03731855,3.373143167,490.73,157.4360474,82.03715933,133.3271769,295.8252506,19.73712269,9.878453704,5.677951389,3.352043981,233.1482593,115.2541134,227,276,299
2011,5.161710668,2.188126027,30.65349772,108.1252459,7.428796233,8.207996575,72.50667492,11.70061986,2.980242009,653.09,151.825778,70.88256646,135.7922924,318.7534564,19.89023148,10.70577083,5.950157407,3.060236111,247.6862083,118.1734699,238,284,310
2012,5.594658998,2.357809836,37.19821778,112.2994085,8.925703552,8.920820641,70.75999765,11.35297547,3.784602687,489.33,157.2130863,86.03370643,125.3176161,300.9849561,20.26512963,9.66525463,7.445314815,3.469680556,264.1464537,113.6296898,219,279,297
2013,5.333007152,2.268776438,28.78962671,109.0874405,6.495048516,8.125955835,73.40751463,10.88884463,2.855963466,646.62,151.8801564,82.14058426,128.0660869,336.5944805,18.9044537,9.554717593,5.524201389,3.02168287,254.2179537,113.7687199,217,289,313
2014,5.630720711,2.402350137,32.61045019,124.416594,5.360240868,8.234664914,72.54041991,8.254390213,2.442176521,636.05,148.0584435,90.71587246,137.9540711,316.714032,18.15447222,8.578446759,4.972090278,2.596212963,246.0682662,99.91506944,224,285,304
2015,5.606003339,2.351980274,30.11544552,112.3686977,7.07386016,4.148128492,75.76250264,nan,3.011773337,540.49,157.4798447,79.25785389,125.3102062,342.2169665,18.4414537,11.61912731,5.582650463,3.462875,248.2074028,116.0607685,233,287,308
2016,5.478446107,2.322580328,30.97590676,106.7293598,8.187336635,9.011285087,73.85245524,6.685686746,3.392099539,473.75,156.6154104,83.33318482,129.2314981,351.7586358,19.77220139,12.14471065,6.594856481,3.543212963,260.2344028,120.2559907,216,292,315
2017,6.350642803,2.31902137,31.4651153,98.38987811,7.391751142,8.579387851,74.92600254,7.929479882,2.895147807,729.74,147.2684646,80.63033749,133.5242316,312.1289596,18.4465787,10.50701157,5.017543981,3.492219907,238.8058935,116.8745995,226,290,310
