Year,GPP,RECO,LE,H,Tair,Tsoil,rH,SWC,VPD,P,Rg,Rn,SOS,EOS,Tair_s,Tair_a,VPD_s,VPD_a,Rg_s,Rg_a,EOS_1,EOS_2,EOS_3
1999,4.039325575,1.624650539,30.0899315,85.59909791,6.606434728,8.220223757,76.24210813,29.37188196,3.215974656,734.22,142.9446173,65.35184281,120.0003092,279.7134111,18.80541204,8.239291667,4.626430556,3.013631944,215.5517037,111.8423866,nan,nan,nan
2000,5.717190179,2.448051913,32.57840164,81.94004781,5.711216985,8.287299636,80.10075256,32.9544268,2.645366006,674.97,145.0674636,78.08183247,119.2140326,292.2143601,17.25285185,8.082233796,3.594333333,2.628969907,221.8884699,117.7369815,nan,nan,nan
2001,4.842411533,3.009033425,27.9275605,86.21012927,6.53170605,8.654898402,81.26010856,34.35180194,2.875269406,730.89,147.3652694,66.75828182,163.712601,274.6055521,19.00881944,9.094594907,5.35118287,2.773185185,236.269537,115.7958773,243,273,292
2002,5.459322115,2.261397808,27.35946689,74.80996643,5.429447489,7.863658676,83.28160638,33.20310388,2.191214612,996.63,146.732117,67.87778729,135.2679117,247.1429585,19.37187269,6.001358796,4.164381944,1.521574074,236.8254954,104.2051412,225,273,296
2003,6.04390423,2.024792329,20.71781336,84.50042072,4.893748858,7.432788242,80.55997708,26.38532991,2.646364155,627.35,154.1315691,79.66357159,130.3196876,288.6731698,18.40794444,6.998289352,4.430092593,2.173571759,242.2360787,116.208044,215,275,297
2004,5.563475191,2.185742623,21.92544057,78.95319104,4.84957821,7.883014572,83.27860855,29.8394268,2.028537113,803.7,143.6037352,79.7409169,150.516676,294.8569467,16.1925787,9.201701389,3.2798125,2.077851852,230.1584028,114.5034699,239,277,298
2005,6.91638702,2.565330959,28.24301427,87.46244325,6.05880137,8.949635845,84.11323081,28.86438014,2.330954909,787.46,152.5215993,86.70247268,128.1258225,283.5687418,19.4482338,8.956798611,3.864083333,2.189506944,249.5696481,114.4664144,224,265,290
2006,6.195943308,2.386183562,31.46339954,79.90964228,6.550893265,8.60073516,82.37537012,31.74101541,2.530820205,676.35,151.9939892,97.08704324,132.3860984,273.577423,19.42562269,6.45350463,4.766506944,1.641347222,253.4608819,111.8708611,218,263,285
2007,0.15,0.384,9.64,5.42,6.285363584,1.696999429,nan,35.9227266,3.127590753,610.58,154.4581124,nan,nan,nan,19.4517963,9.325078704,5.848729167,2.665280093,247.6409051,108.0550903,221,264,284
2008,nan,nan,nan,nan,4.235255009,7.849952755,nan,33.59126309,2.643345856,530.7,161.8793556,nan,nan,nan,18.0668912,7.7305,4.997928241,2.614858796,259.9983356,113.3567523,233,271,294
2009,nan,nan,nan,nan,4.707636986,7.992038813,nan,29.00108333,2.583875571,442.94,163.7658156,nan,nan,nan,17.19240046,8.226291667,4.596335648,2.228344907,245.3355486,118.8993657,224,279,301
2010,0.347738506,0.005411268,3.829133512,34.67723988,6.64189726,9.314414954,82.81066007,34.1439161,2.605253425,809.76,155.4626307,38.12095311,nan,290.1986919,18.8592963,7.620185185,3.815365741,2.771956019,226.4009352,115.8781551,220,260,279
2011,4.185532744,1.609129863,25.41600571,82.59331128,5.591620434,8.280194064,81.14252532,34.09260902,2.650581621,459.5,143.4737158,73.45017759,139.7563743,277.3482291,19.06758565,8.559724537,4.657180556,2.657060185,230.9424954,110.6549537,219,269,288
2012,4.640163823,1.797565574,25.84621983,88.10759579,7.125473019,8.799014686,78.14285094,33.95361566,3.23764515,572.24,154.2694814,80.70590949,126.6244189,277.3586996,19.29589815,7.368178241,5.437761574,2.694821759,250.5231065,119.7392593,203,263,284
2013,6.173542428,2.276716712,33.86169863,81.86789697,4.020704909,7.486352169,83.31466418,34.07939212,2.381932078,753.88,146.3225497,71.04109149,130.1814445,280.1261087,17.8858588,7.210372685,4.357115741,2.071395833,233.7557245,115.6598356,222,270,289
2014,5.935689937,2.850025205,29.86724886,81.73794512,3.217136416,7.709071347,73.95804237,40.02684532,3.025059361,913.56,150.2317631,77.73837054,137.3406182,276.056862,17.63263657,5.512189815,5.235891204,3.127337963,230.6288981,112.7225972,220,267,291
