Year,GPP,RECO,LE,H,Tair,Tsoil,rH,SWC,VPD,P,Rg,Rn,SOS,EOS,Tair_s,Tair_a,VPD_s,VPD_a,Rg_s,Rg_a,EOS_1,EOS_2,EOS_3
2007,3.838599754,1.438257983,39.80757788,179.4805105,11.98441464,nan,48.55955265,nan,9.222867744,318.18,236.9343456,92.59467739,nan,312.2091256,21.94038426,13.93588889,15.60715741,10.34037963,302.4701134,214.1584144,222,253,299
2008,2.927970821,1.22365082,29.26258595,157.5881338,11.90207878,nan,44.43136843,nan,9.603775615,330.44,238.8579087,117.6072738,nan,298.5360801,21.11966898,13.28452083,14.70115509,8.822594907,293.1493681,209.9131227,nan,nan,nan
2009,2.302670505,0.765236712,21.76686986,161.7145451,12.41169692,nan,44.29154575,nan,10.54566781,211.62,232.9064144,110.9384403,nan,nan,22.29815046,12.33722222,17.69767361,8.631481481,293.7820278,201.5530394,nan,nan,nan
2010,2.763886125,0.977411507,29.36052112,158.831048,12.16750514,nan,47.8902523,nan,9.997887557,279.61,239.5829635,111.1592852,nan,262.7737338,22.31095833,14.02360185,16.59807176,10.46331481,303.5965694,220.3435,nan,nan,nan
2011,1.880729005,0.697563288,18.38663242,171.09556,12.26851998,nan,40.53684628,nan,11.79815982,168.83,243.426161,111.9846832,nan,nan,23.61142593,13.12606713,20.5579537,10.06842361,298.0505023,205.778912,nan,nan,nan
2012,2.293566801,0.882839891,26.52418716,160.3904083,13.07041439,nan,40.437723,nan,11.90938126,199.84,241.4835109,105.0238675,nan,343.6251156,23.07750231,14.19770833,19.42323843,11.89800694,309.9918727,211.8310509,nan,nan,nan
2013,1.864412663,0.87270411,25.91506678,152.3639518,11.82245662,nan,46.35577944,nan,10.0663653,295.46,240.4915091,118.3339297,nan,236.6333456,22.148875,12.18269213,16.37805787,8.111550926,294.3433102,206.7818773,262,290,317
2014,2.67582207,1.094273425,36.32178596,152.3880469,12.47928995,nan,52.53709972,nan,8.904523402,362.3,239.1275656,99.8661071,nan,332.6096008,22.01214815,12.94706944,14.45458102,6.690027778,292.6963194,200.5314468,256,283,308
2015,3.354170512,1.334360548,46.06164441,129.4391292,11.94630708,nan,62.38995145,nan,7.488821918,445.76,224.4109304,115.5246689,nan,327.8419966,21.16938194,13.04464583,11.84170139,7.031127315,284.7447847,197.6660926,nan,nan,nan
2016,3.13840035,1.141589617,31.4595395,153.2287633,12.07520036,nan,55.87528785,nan,8.589927709,265.9,235.3440841,114.8754336,nan,303.4364831,21.82926852,13.83927778,14.80901157,7.572592593,293.5836806,206.9210694,nan,nan,nan
2017,2.931992941,0.982033973,30.74539897,157.0393739,12.71429966,nan,52.76969462,nan,8.869598744,321.34,238.7667603,113.6141859,nan,252.1181014,20.99545139,14.21132407,12.47480324,9.236085648,296.9583194,218.6433889,nan,nan,nan
