Year,GPP,RECO,LE,H,Tair,Tsoil,rH,SWC,VPD,P,Rg,Rn,SOS,EOS,Tair_s,Tair_a,VPD_s,VPD_a,Rg_s,Rg_a,EOS_1,EOS_2,EOS_3
2004,1.819403438,0.529223567,24.11601374,215.4264972,16.92929584,21.14922969,36.78005654,2.393004494,13.81070644,286.45,239.3171589,91.42752979,137.9143547,238.0465844,24.47765741,17.34527778,23.48566435,12.56187269,295.2782523,217.5334537,nan,nan,nan
2005,0.618766123,0.297856438,15.05749543,133.8383352,17.65583676,19.65682711,36.67999422,2.60422089,14.47792009,162.26,245.7613716,72.72642237,127.1414556,nan,25.29608333,19.88760417,22.79035185,15.21283796,306.8773542,222.1122708,nan,nan,nan
2006,1.408459125,0.406986301,15.97896918,125.2304466,17.42060731,19.31446454,34.00260559,2.305451027,13.33040639,273.56,242.0717968,71.91233031,nan,240.1390248,24.82634028,18.22533102,19.75344213,9.739761574,286.1589792,213.0703935,264,281,310
2007,1.357185533,0.46571726,21.71193151,121.3073731,17.13453253,19.73825445,36.94245047,4.549372146,14.02246861,306.34,249.5914629,76.47611473,nan,234.877004,24.78812731,19.5270625,22.1913588,14.11957407,301.8421343,225.2071111,242,264,304
2008,1.469971917,0.481437158,20.76356444,126.5369847,16.88534608,19.43225758,34.74445994,7.141252277,13.68052653,305.55,253.9856074,82.90443837,nan,296.6305344,24.21354167,18.73247917,21.0450787,12.64790741,295.9723426,226.9094583,244,267,292
2009,0.885281328,0.325056438,17.94421689,131.8677195,17.38755137,19.30205515,33.1505459,8.087214612,15.54089155,245.84,241.9320719,84.46489628,95.8475712,216.1676697,24.71642361,18.53828935,24.49175926,14.76745139,283.0869699,214.2065116,nan,nan,nan
2010,1.65178818,0.515404384,27.15213984,131.0088945,16.67025114,18.628087,37.21626397,9.864954338,13.76036301,333.74,243.7870868,90.93428964,nan,276.9993445,24.76069444,18.51480787,23.0714375,13.08392361,297.8205046,221.8337014,249,270,292
2011,1.373764026,0.577424658,20.77108562,141.5700534,17.17123973,18.80882555,32.27433672,8.097363014,16.2427911,289.68,248.4841826,86.15344021,nan,277.2608865,25.31857639,18.73178009,27.22111111,15.57103704,298.071412,207.9790509,250,277,298
2012,1.642955535,0.619306011,23.58903973,132.4160322,18.03939265,19.57283739,32.87503141,8.915186703,15.83675774,312.53,249.3512301,91.40428226,nan,291.5523008,25.18283333,19.70569444,23.83822222,15.34188889,298.0340463,219.1492454,nan,nan,nan
2013,1.21893792,0.630601644,21.77566895,131.111581,17.05496233,19.00474586,35.87356293,9.619703196,13.31158817,253.48,247.6778105,88.86147035,nan,278.4961332,25.30974537,18.27127315,20.32882407,11.9526875,295.2568843,218.630338,nan,nan,nan
2014,2.239050463,0.707027945,24.97897489,124.1981061,17.89880708,19.60660887,35.83781812,10.14886986,13.47555765,414.34,243.7464258,86.08307583,nan,nan,24.78264352,18.50128704,21.06145833,8.909729167,296.473044,213.9216667,255,299,338
2015,2.269067449,0.849608219,32.64994235,127.5245837,17.22918094,18.32281576,41.46025813,11.87416096,10.44505651,386.1,239.2027945,89.0921171,nan,324.6269202,24.88112963,18.29139583,16.63053704,8.02250463,290.988044,201.0712708,nan,nan,nan
2016,1.948437578,0.735302186,26.4590329,136.0407675,17.845148,18.58047178,35.66322247,11.54202527,13.71681409,375.28,252.0659677,91.36973768,nan,319.930964,25.08192593,19.65719676,21.56608102,12.77236111,303.6935926,218.3248079,nan,nan,nan
2017,1.909200051,0.620352877,23.34429566,136.5865582,18.61396119,20.21569741,33.2300971,13.10533676,13.85518901,358.1,250.8160862,89.79612295,nan,266.8679677,25.00077083,20.9679375,18.34909259,14.63690972,300.0438032,229.5106019,234,261,305
