Site,nYear,nYearMODIS,PFT,Latitude,Longitude
AR-SLu,3,3,MF,-33.4648,-66.4598
AR-Vir,4,4,ENF,-28.2395,-56.1886
AT-Neu,11,11,GRA,47.11667,11.3175
AU-Ade,3,3,WSH,-13.0769,131.1178
AU-ASM,5,5,ENF,-22.283,133.249
AU-Cpr,5,5,WSH,-34.0021,140.5891
AU-Cum,3,3,EBF,-33.61518,150.72362
AU-DaP,7,7,GRA,-14.0633,131.3181
AU-DaS,7,7,WSH,-14.1593,131.3881
AU-Dry,7,7,WSH,-15.2588,132.3706
AU-Emr,3,3,GRA,-23.8587,148.4746
AU-Fog,3,3,WET,-12.5452,131.3072
AU-Gin,4,4,WSH,-31.3764,115.7138
AU-GWW,2,2,WSH,-30.1913,120.6541
AU-How,14,14,WSH,-12.4943,131.1523
AU-Lox,2,2,DBF,-34.4704,140.6551
AU-RDF,3,3,WSH,-14.5636,132.4776
AU-Rig,4,4,GRA,-36.6499,145.5759
AU-Rob,1,1,EBF,-17.1175,145.6301
AU-Stp,7,7,GRA,-17.1507,133.3502
AU-TTE,3,3,SH,-22.287,133.64
AU-Tum,14,14,EBF,-35.6566,148.1517
AU-Wac,4,4,EBF,-37.4259,145.1878
AU-Whr,4,4,EBF,-36.6732,145.0294
AU-Wom,5,5,EBF,-37.4222,144.0944
AU-Ync,3,3,GRA,-34.9893,146.2907
BE-Bra,19,14,MF,51.30761,4.51984
BE-Lon,11,11,CRO,50.55162,4.74623
BE-Vie,19,14,MF,50.30493,5.99812
BR-Sa1,10,10,EBF,-2.85667,-54.95889
BR-Sa3,5,4,EBF,-3.01803,-54.97144
CA-Gro,12,12,DBF,48.2167,-82.1556
CA-Man,NA,NA,ENF,55.87962,-98.48081
CA-NS1,5,5,ENF,55.87917,-98.48389
CA-NS2,5,5,ENF,55.90583,-98.52472
CA-NS3,5,5,ENF,55.91167,-98.38222
CA-NS4,4,4,ENF,55.91437,-98.380645
CA-NS5,5,5,ENF,55.86306,-98.485
CA-NS6,5,5,SH,55.91667,-98.96444
CA-NS7,4,4,SH,56.63583,-99.94833
CA-Oas,15,10,DBF,53.62889,-106.19779
CA-Obs,14,10,ENF,53.98717,-105.11779
CA-Qfo,8,8,ENF,49.6925,-74.34206
CA-SF1,4,4,ENF,54.48503,-105.81757
CA-SF2,5,5,ENF,54.25392,-105.8775
CA-SF3,6,6,SH,54.09156,-106.00526
CA-TP1,13,13,ENF,42.66093611,-80.55951944
CA-TP2,6,6,ENF,42.77441944,-80.458775
CA-TP3,13,13,ENF,42.70681111,-80.34831389
CA-TP4,13,13,ENF,42.710161,-80.357376
CA-TPD,3,3,DBF,42.635328,-80.557731
CG-Tch,4,4,WSH,-4.28917,11.65642
CH-Cha,10,10,GRA,47.21022,8.41044
CH-Dav,18,14,ENF,46.81533,9.85591
CH-Fru,10,10,GRA,47.11583,8.53778
CH-Lae,11,11,MF,47.47833,8.36439
CH-Oe1,7,7,GRA,47.28583,7.73194
CH-Oe2,11,11,CRO,47.28642,7.73375
CN-Cha,3,3,MF,42.4025,128.0958
CN-Cng,4,4,GRA,44.5934,123.5092
CN-Dan,2,2,GRA,30.4978,91.0664
CN-Din,3,3,EBF,23.1733,112.5361
CN-Du2,3,3,GRA,42.0467,116.2836
CN-Du3,2,2,GRA,42.0551,116.2809
CN-Ha2,3,3,WET,37.6086,101.3269
CN-HaM,3,3,GRA,37.37,101.18
CN-Qia,3,3,ENF,26.7414,115.0581
CN-Sw2,3,3,GRA,41.7902,111.8971
CZ-BK1,11,11,ENF,49.50208,18.53688
CZ-BK2,9,9,GRA,49.49443,18.54285
CZ-wet,9,9,WET,49.02465,14.77035
DE-Akm,6,6,WET,53.86617,13.68342
DE-Geb,14,14,CRO,51.09973,10.91463
DE-Gri,11,11,GRA,50.95004,13.51259
DE-Hai,13,12,DBF,51.07921,10.45217
DE-Kli,11,11,CRO,50.89306,13.52238
DE-Lkb,5,5,ENF,49.09962,13.30467
DE-Lnf,11,11,DBF,51.32822,10.3678
DE-Obe,7,7,ENF,50.78666,13.72129
DE-RuR,4,4,GRA,50.62191,6.30413
DE-RuS,4,4,CRO,50.86591,6.44714
DE-Seh,4,4,CRO,50.87062,6.44965
DE-SfN,3,3,WET,47.80639,11.3275
DE-Spw,5,5,WET,51.89225,14.03369
DE-Tha,19,14,ENF,50.96256,13.56515
DE-Zrk,2,2,WET,53.87594,12.88901
DK-Eng,4,4,GRA,55.69053,12.19175
DK-Fou,1,1,CRO,56.4842,9.58722
DK-Sor,19,14,DBF,55.48587,11.64464
ES-Amo,6,6,SH,36.83361,-2.25232
ES-LgS,3,3,SH,37.09794,-2.96583
ES-LJu,10,10,SH,36.92659,-2.75212
ES-Ln2,1,1,SH,36.9695,-3.47582
FI-Hyy,19,14,ENF,61.84741,24.29477
FI-Jok,4,3,CRO,60.8986,23.51345
FI-Let,4,4,ENF,60.64183,23.95952
