"","Site","nYear","nYearMODIS","PFT","Latitude","Longitude"
"1","AT-Neu",11,11,"GRA",47.11667,11.3175
"2","BE-Bra",19,14,"MF",51.30761,4.51984
"3","BE-Vie",19,14,"MF",50.30493,5.99812
"4","CA-Gro",12,12,"DBF",48.2167,-82.1556
"5","CA-TP1",13,13,"ENF",42.66093611,-80.55951944
"6","CA-TP3",13,13,"ENF",42.70681111,-80.34831389
"7","CA-TP4",13,13,"ENF",42.710161,-80.357376
"8","CH-Dav",18,14,"ENF",46.81533,9.85591
"9","CH-Lae",11,11,"MF",47.47833,8.36439
"10","CZ-BK1",11,11,"ENF",49.50208,18.53688
"11","DE-Gri",11,11,"GRA",50.95004,13.51259
"12","DE-Hai",13,12,"DBF",51.07921,10.45217
"13","DE-Lnf",11,11,"DBF",51.32822,10.3678
"14","DE-Tha",19,14,"ENF",50.96256,13.56515
"15","DK-Sor",19,14,"DBF",55.48587,11.64464
"16","FI-Hyy",19,14,"ENF",61.84741,24.29477
"17","FI-Sod",14,14,"ENF",67.36239,26.63859
"18","GL-ZaH",15,14,"GRA",74.47328,-20.5503
"19","IT-Col",19,14,"DBF",41.84936,13.58814
"20","IT-Lav",12,12,"ENF",45.9562,11.28132
"21","IT-MBo",11,11,"GRA",46.01468,11.04583
"22","IT-Ren",16,13,"ENF",46.58686,11.43369
"23","IT-Ro2",11,11,"DBF",42.39026,11.92093
"24","IT-SRo",14,12,"ENF",43.72786,10.28444
"25","NL-Loo",19,14,"ENF",52.16658,5.74356
"26","RU-Fyo",17,14,"ENF",56.46153,32.92208
"27","US-GLE",11,11,"ENF",41.36653,-106.2399
"28","US-Ha1",22,12,"DBF",42.5378,-72.1715
"29","US-Me2",13,13,"ENF",44.4523,-121.5574
"30","US-MMS",16,14,"DBF",39.3232,-86.4131
"31","US-NR1",17,14,"ENF",40.0329,-105.5464
"32","US-PFa",20,14,"MF",45.9459,-90.2723
"33","US-Syv",14,14,"MF",46.242,-89.3477
"34","US-UMB",15,14,"DBF",45.5598,-84.7138
"35","US-Var",15,14,"GRA",38.4133,-120.9507
"36","US-WCr",16,14,"DBF",45.8059,-90.0799
"37","US-Wkg",11,11,"GRA",31.7365,-109.9419
