Year,GPP,RECO,LE,H,Tair,Tsoil,rH,SWC,VPD,P,Rg,Rn,SOS,EOS,Tair_s,Tair_a,VPD_s,VPD_a,Rg_s,Rg_a,EOS_1,EOS_2,EOS_3
1996,9.347689579,2.517445483,49.53077304,86.15952012,6.492340183,8.64320516,87.4745637,26.99885852,2.376743326,720.8,116.4925354,45.45229057,71.00994318,240.2008413,14.53525694,7.380828704,5.072263889,1.333601852,209.4793102,71.8144838,nan,nan,nan
1997,6.477171815,3.058392877,26.81086986,87.27214236,7.933251712,8.032271119,82.08229304,27.91046233,2.509510845,798.6,117.8337865,71.85389622,61.71891236,344.3127179,15.34526389,8.334266204,4.262958333,1.871050926,194.345544,96.40019907,nan,nan,nan
1998,6.497083563,3.292796164,21.34045148,74.84276399,7.767810502,7.909449201,85.56265943,28.17461416,2.200065068,1160.3,99.61419521,63.04685028,82.15159234,298.6837016,14.38848611,7.129534722,4.033328704,1.224666667,178.7122847,60.09379861,nan,nan,nan
1999,7.127974673,2.878457534,23.62285388,96.61673451,8.348222032,8.252855594,81.68909108,25.99404623,3.013089041,1061.4,116.0207403,70.23309159,66.60483808,326.417141,15.06900231,9.078168981,6.062729167,2.493284722,200.4614792,88.75454861,nan,nan,nan
2000,6.109947202,3.137421311,20.18754098,85.83813473,8.533633311,8.554780282,85.02243518,27.35627789,2.249357923,1303.9,107.8396163,71.78203643,66.71779574,311.2974113,14.24234028,9.255967593,4.360296296,1.16356713,195.0002106,73.08205556,nan,nan,nan
2001,6.146278978,2.818029589,20.91551142,87.49450233,8.049796233,8.273682648,83.79978642,27.69127854,2.488164954,1218.5,110.8627129,74.6723251,75.07155105,317.2532332,15.15865278,8.755358796,4.784733796,1.373097222,201.7993542,70.56403704,233,274,317
2002,6.527837013,2.8458,23.23992123,94.0155913,8.440415525,8.420700342,81.56556599,27.29617295,2.529464041,1019,111.1805548,75.87830232,25.39789413,306.6198246,15.07291667,8.732342593,4.08869213,1.986530093,183.5064329,80.30013657,198,300,332
2003,6.701344228,2.757647123,26.74051484,106.7102877,8.517829338,8.062408105,70.57943129,24.1571621,4.622489155,802.8,133.2166079,75.06019516,nan,320.9006119,17.63290509,8.347289352,9.559041667,3.463907407,232.1629005,95.3407662,200,270,305
2004,6.356908927,3.106256284,21.8035263,98.62374501,7.756267077,7.527292805,74.13422744,25.11999317,3.66257969,1025.3,115.5872826,63.23404952,64.56569937,354.6748796,14.9341412,8.873136574,6.836226852,3.183527778,192.2471551,87.49937731,186,268,308
2005,6.637248369,3.334916712,24.74905993,105.8790547,8.120556507,8.051328196,82.97249567,25.32733676,2.608013699,918.7,115.5408619,68.18642344,33.55702536,312.5938831,14.70015046,10.35193056,4.504430556,2.534131944,191.1604375,98.27835648,217,277,320
2006,5.90339332,2.596756164,24.13527283,97.95543308,8.573800799,7.433710616,80.96588092,29.87751084,2.964165525,1040.5,115.4671279,66.87759222,74.15190011,336.5410126,16.06822685,11.43434954,6.131171296,2.369592593,207.8582037,86.84143287,201,274,319
2007,6.426315139,2.865669041,23.53026027,107.2317437,8.864303082,8.722784817,83.28904228,36.9789863,2.50872089,1254.4,113.5315365,63.06919643,47.66542217,325.3809244,14.75804398,7.893837963,3.441967593,1.312613426,181.8420741,76.71931019,231,269,318
2008,6.590258211,3.078522951,22.01404884,97.01607813,8.059835496,7.985442281,85.49650596,37.98760644,2.122967896,1067.6,111.9251691,63.56329828,71.19757799,327.1931188,14.77742361,8.282180556,3.487071759,1.029518519,192.4199468,73.70395833,215,280,311
2009,8.052104011,3.805452055,34.81279852,100.4297473,8.512984589,6.014861872,82.75054956,35.79868779,2.767187215,939,115.7787534,53.09439179,65.576337,321.70971,16.23110417,9.94719213,5.228594907,2.174888889,205.8055787,81.8579537,207,267,304
2010,7.292459876,3.933326575,29.6521387,89.93612671,7.362737443,7.435245434,82.25845785,35.17239555,2.804370434,910.51,116.4816461,72.25490661,54.51394048,328.2741676,16.60486574,8.56125,6.137453704,1.644759259,207.6366366,83.64069444,242,283,325
2011,6.964167884,4.286707397,30.28051313,102.3591469,9.374538242,8.289617009,81.19388842,32.72074658,2.949834475,609.18,122.0098596,68.82572211,nan,nan,14.67384259,10.52988889,4.003152778,2.420828704,179.2758935,94.56540741,183,268,302
2012,7.276396019,4.380573224,31.04782958,95.04240837,8.490124089,8.071306352,83.93562054,35.37712546,2.494252049,782.4,112.814745,66.57657247,127.2709728,361.6687568,15.44458565,9.3849375,4.240664352,2.178453704,186.2869907,86.47689583,205,265,301
2013,7.274058905,3.866126575,31.25139155,86.23580914,7.914616438,7.630561644,86.35822593,34.84843607,2.247738584,677.98,113.460411,88.93373063,76.02565192,311.0237212,16.37698611,9.4548125,5.213900463,1.287476852,209.3467824,78.57985185,223,281,306
2014,7.055235689,3.737932055,27.95846689,101.1893168,9.646129566,8.74646347,86.58160701,33.35337728,2.114181507,775.8,116.0119509,66.73854347,43.24699318,354.8115783,15.43064815,11.08499537,3.930229167,0.9673125,200.3212176,83.01147454,228,271,295
