Year,GPP,RECO,LE,H,Tair,Tsoil,rH,SWC,VPD,P,Rg,Rn,SOS,EOS,Tair_s,Tair_a,VPD_s,VPD_a,Rg_s,Rg_a,EOS_1,EOS_2,EOS_3
1996,5.777606721,0.757858439,nan,nan,7.893913019,nan,nan,nan,3.032800706,2315.63,120.8482012,nan,85.72750817,nan,15.35983333,8.187064815,6.847428241,2.18794213,228.9605162,81.84347454,nan,nan,nan
1997,5.485912558,1.017346301,13.59429103,61.18846639,9.005180365,nan,80.83421415,nan,2.906009703,3220.81,113.6664703,nan,6.604529353,309.630499,15.4977662,9.746636574,5.636150463,2.304101852,201.8205625,75.95483102,nan,nan,nan
1998,5.489851181,3.033921644,32.70284304,95.34336687,9.62141153,7.865252373,79.93208064,10.64712005,3.338667808,2430.15,135.8906147,nan,43.59838057,342.2985119,17.22854398,10.46561111,6.81175463,2.696141204,248.9898125,96.18720602,nan,nan,nan
1999,6.062401153,2.864140822,32.342504,87.94851019,8.154191781,6.647721975,82.6252311,18.18395382,2.804736872,2481.05,127.6925982,39.75623777,45.94621782,340.3181203,14.87506019,9.29737963,5.18362037,2.911481481,199.2400139,113.5918426,nan,nan,nan
2000,6.202491575,3.107556831,32.09160747,84.98459006,8.518792122,7.450256892,82.63785942,16.3892825,2.928925319,1916.07,129.556986,80.68274468,57.11975423,356.1393189,15.44593056,9.505085648,5.890087963,2.704738426,230.727544,96.58520602,nan,nan,nan
2001,5.816996485,3.085660274,29.58321062,83.58740101,8.431800799,7.399300459,81.16894435,17.17628231,2.770438356,2242.23,124.8699127,70.31541535,17.83629459,nan,14.58083565,9.590011574,5.10180787,2.365122685,205.0797384,93.89005556,210,246,309
2002,5.477528792,3.28833589,29.72897146,87.88293481,9.016413242,7.845794942,78.70327359,15.19089509,3.147384132,1798.36,132.5812928,76.29348308,75.97646022,320.7065361,16.39767824,10.41533796,6.511513889,2.587986111,232.180544,94.62889352,nan,nan,nan
2003,5.515216302,2.975493699,28.88502626,87.08502144,9.434327626,8.086276401,80.05652678,16.05716433,3.185634703,2542.07,123.8828151,73.19252541,nan,312.8947411,17.42515972,10.00630093,6.844835648,2.759782407,238.1202569,91.01750231,217,267,334
2004,5.490879982,3.379638798,32.87292976,86.8777152,9.803074909,8.593395378,81.23357737,16.19772336,3.357419171,2031.8,125.613088,78.47063987,40.24533941,nan,17.45335417,9.844111111,7.185627315,1.829835648,234.1981551,74.14793981,192,257,294
2005,5.700953899,3.295386849,33.71937215,82.07196108,9.286565068,8.133334665,81.7713317,16.36397654,3.115017694,2617.28,120.7966513,74.36205629,23.9114714,271.1184843,15.83983796,9.230275463,6.082814815,1.978291667,215.7035926,77.38594444,193,272,288
2006,5.625330983,3.030483836,31.1094629,106.4052109,8.929943493,7.620948901,74.36538303,15.8500234,3.538625,2364.09,129.3678276,79.45568077,56.98550133,341.5576295,16.54040509,9.618037037,7.185298611,3.030986111,242.0805023,96.85783565,209,256,310
2007,5.838415898,2.838756712,33.60914726,81.85564814,8.510412671,7.444900132,80.45060096,17.50616433,2.597822489,2759.51,108.7007203,69.66048944,58.20118878,301.3993637,15.5120162,8.730909722,5.193648148,2.154034722,195.1075926,77.97934722,211,284,327
2008,6.074881398,2.914463934,31.14601662,92.18501465,8.189612363,7.30310335,78.79798789,17.73606108,2.887225638,1697.85,122.7547205,74.59430916,37.38986292,317.9282734,14.83496296,9.983638889,5.379203704,2.688525463,219.5537176,87.09482407,210,257,305
2009,6.145895132,2.994348493,33.25658447,100.9390913,8.737991438,7.272808545,76.7352316,15.78583607,3.471974315,1963.41,129.1049971,82.30536098,43.02322172,322.1094128,17.03338426,9.50737963,7.5156875,2.286217593,241.4203218,76.46400463,223,272,336
2010,6.549699898,2.844976986,36.6677597,95.50310752,9.031840753,7.756761087,80.96411458,19.28704338,3.025438927,2640.62,119.6953413,78.96528156,nan,278.4648871,16.43677083,8.807104167,7.135094907,1.988266204,246.1014954,72.20146528,218,256,325
