Year,GPP,RECO,LE,H,Tair,Tsoil,rH,SWC,VPD,P,Rg,Rn,SOS,EOS_GPP,Tair_s,Tair_a,VPD_s,VPD_a,Rg_s,Rg_a,EOS_1,EOS_2,EOS_3
1996,1.871557572,0.784489463,nan,nan,-0.706584505,nan,70.62,nan,3.449289577,413.46,124.4320823,-1.364545455,nan,nan,16.45844444,1.701405093,7.534351852,2.899331019,212.4714745,80.84415046,nan,nan,nan
1997,1.855161326,0.853610959,nan,nan,2.162071347,-1.302070441,72.79,8.402760672,4.268402968,330.42,133.1872979,-2.28,nan,nan,17.79207639,3.71055787,9.551472222,2.954909722,238.0511296,82.77145833,nan,nan,nan
1998,1.668134336,0.93355726,nan,nan,3.275985731,4.531791292,nan,8.58196511,4.636331621,313,135.3964697,nan,28.2461507,61.60444444,17.48771296,4.488210648,9.166143519,3.558199074,222.7102384,89.32214583,nan,nan,nan
1999,1.683300358,0.856832329,16.21430461,107.3737808,2.880795091,3.927028713,nan,8.654324311,3.952243721,383,130.0734229,nan,nan,nan,16.17613889,4.295016204,8.040886574,3.198488426,220.9201921,90.54522917,nan,nan,nan
2000,2.018790756,1.012006557,19.38821095,102.7674756,1.379315801,3.028398885,nan,8.12079457,3.54433174,292,129.8018101,nan,103.4419364,108.5653672,15.4795787,3.393625,6.920655093,3.044550926,209.9342569,91.52235185,nan,nan,nan
2001,2.095500704,1.140648219,18.186,114.508447,3.239612443,3.88074814,nan,7.82791895,4.388200913,255,141.2382243,nan,97.38218384,114.693224,16.97627778,4.813226852,8.958828704,3.530865741,238.7676597,98.13159954,nan,nan,nan
2002,1.912466172,1.132604932,18.17729053,115.0660058,0.619681507,3.424310017,nan,9.082360331,3.956930936,351,136.1034932,nan,116.5158016,112.5568902,16.92403704,0.8331875,9.522585648,2.318298611,225.117588,83.59848611,nan,nan,nan
2003,1.766697858,1.138549041,16.9749395,108.6740066,1.399942352,3.906902614,nan,7.527979566,4.32502911,205,134.4664578,nan,78.15430531,96.69742574,17.3893912,2.668729167,9.413520833,3.254439815,219.1854375,92.59066204,nan,nan,nan
2004,1.822178549,1.093144262,20.32801059,102.3519457,-0.128439208,3.598042664,nan,9.776738473,3.186978028,548,125.7702345,nan,93.81917345,97.70727273,14.00474074,3.433229167,6.47906713,2.7090625,204.7715301,82.81156481,nan,nan,nan
2005,2.113869058,1.278118356,18.35648687,99.24668468,1.909792237,4.194195776,nan,9.699833105,3.338343037,551.8,127.0221712,nan,75.06062563,106.2342439,15.15178935,4.132446759,6.546805556,2.683763889,203.1713935,87.35390278,nan,nan,nan
2006,2.138497503,1.194090411,20.04804909,95.04201217,2.544811644,4.945728311,nan,8.502088299,4.023981735,455,132.2363396,nan,59.67379027,97.9399095,17.37090741,1.231506944,8.532800926,2.902171296,229.4180764,84.85717824,nan,nan,nan
2007,1.913992218,1.109794521,20.7580234,92.29159353,0.976225457,4.904172945,nan,10.27580708,3.69877968,433,132.1868031,nan,87.1427236,106.2202073,16.15929861,2.774664352,8.228166667,2.383381944,225.6396806,81.37096065,nan,nan,nan
2008,2.039288751,1.193266667,18.19095913,107.7529756,0.272871699,4.476002391,nan,9.573878245,3.875533356,342,140.3369342,nan,96.47467276,107.2911957,16.76046991,3.682122685,8.534043981,2.934243056,226.3834144,90.69109259,nan,nan,nan
2009,2.135393507,1.155057534,18.36837043,98.74547093,0.405211758,3.447057648,nan,10.45091667,3.418997146,415,131.706492,nan,96.90780586,102.0729348,14.61725463,5.208898148,6.615217593,3.489592593,208.4141921,90.59213657,nan,nan,nan
2010,2.21062011,1.279386849,22.13660103,84.87180224,2.180299658,4.267895251,nan,16.6233492,3.543965183,468,125.7560417,nan,80.59709002,107.90665,15.96611111,3.068592593,6.868710648,2.93850463,211.5927153,85.52273843,nan,nan,nan
