Year,GPP,RECO,LE,H,Tair,Tsoil,rH,SWC,VPD,P,Rg,Rn,SOS,EOS,Tair_s,Tair_a,VPD_s,VPD_a,Rg_s,Rg_a,EOS_1,EOS_2,EOS_3
2000,6.912334035,3.128371515,29.90574657,93.65992778,8.823846986,7.885936699,79.91114712,41.59444982,3.090268116,912.72,117.8640809,48.46153743,100.6310648,299.8064373,15.26434491,9.792342593,5.261030093,2.390585648,201.5251019,81.71270833,nan,nan,nan
2001,6.588047802,2.612331507,30.14412443,87.00930374,7.951416667,7.363539954,80.1213985,40.35036929,3.03276484,798.44,114.7952951,55.13534523,102.6426772,293.4507417,16.11253704,8.81619213,6.259856481,1.867668981,212.0445602,71.98608796,198,272,308
2002,7.183451138,2.843694247,30.44026941,84.72877008,8.257069635,7.503569064,79.28463063,38.64893607,3.019796804,992.36,109.6022974,51.13363999,107.889625,297.966506,16.67334954,8.314261574,5.677631944,2.356907407,190.0401366,79.99053704,196,275,300
2003,6.325277036,2.676550685,32.05521062,107.5339316,9.57626484,9.858130708,75.86418607,23.96798516,4.60095605,388.1,133.5316672,58.74516867,99.84597352,309.762104,19.97022917,9.093287037,10.16944676,3.28580787,240.8566296,87.46330324,194,279,312
2004,6.050936088,2.896800546,30.41656136,97.25097737,7.300520833,7.225865779,81.61130296,29.92957707,2.617746471,763,116.749877,57.73525911,100.1059026,303.3855209,14.99698611,8.421034722,4.782571759,2.328300926,205.5853565,86.94760648,169,274,306
2005,6.709348211,2.719030685,34.8104863,95.0783495,8.128156393,7.966674087,80.00630023,36.29866838,3.118349315,736,124.801899,62.75587334,110.8741234,321.496149,15.36427083,10.59129167,5.227081019,3.16430787,208.0894306,100.752213,202,284,308
2006,6.592020886,2.807487671,33.70351427,95.37152412,8.653038813,8.250908676,79.17457648,31.96714954,3.560751712,660.1,124.9765822,61.79008676,104.6917823,330.0669009,17.28018287,11.72612731,7.182060185,3.427766204,224.4526412,96.37551157,203,282,307
2007,5.959183192,2.599109041,34.83249372,99.98282355,8.82797089,8.42927226,79.37996119,39.13353938,3.179078196,1047.2,120.9211273,61.05384018,96.89952388,306.7569484,16.21580093,7.563032407,5.498826389,1.801201389,200.6541968,78.88252546,194,272,305
2008,6.294600385,2.793993989,31.68838513,96.68089633,8.646771403,7.831680897,77.97782445,34.61168659,3.450377391,612.3,119.7405493,60.34995845,109.0257923,320.5451893,17.03960417,8.694134259,7.245921296,2.186731481,221.7275509,76.18330324,223,278,306
2009,7.059576079,2.888609315,33.9704726,89.96797727,8.229242009,7.814458904,80.85452357,36.89074429,3.04052968,923.62,117.1032334,60.84264004,90.52111828,305.1460978,16.16422222,9.34837037,5.802652778,2.283483796,203.1279074,77.57844907,179,289,319
2010,5.971637812,2.428821918,7.76,93.4921699,6.692817922,7.416817352,80.05275276,37.24142694,3.24540411,820.23,118.3008253,61.87155964,115.8187105,331.0970331,17.20345833,7.835858796,7.615335648,1.920708333,220.4602616,79.97427083,204,278,309
2011,6.378978317,2.666361644,nan,98.86665013,8.983613014,7.794076484,73.47926287,29.15534532,4.086315639,543.8,130.7444332,60.73231678,97.6463222,317.271471,15.86715741,9.855386574,6.052506944,3.635787037,199.3511481,101.4409745,192,280,311
2012,6.071405974,2.653900546,nan,89.21457801,8.27117031,7.815923839,74.6151279,33.17364128,3.907943989,701.3,123.3436333,60.87512162,106.4429747,304.7126993,16.11147222,9.121956019,6.691081019,3.355990741,203.6851806,93.49242361,208,284,311
