Year,GPP,RECO,LE,H,Tair,Tsoil,rH,SWC,VPD,P,Rg,Rn,SOS,EOS,Tair_s,Tair_a,VPD_s,VPD_a,Rg_s,Rg_a,EOS_1,EOS_2,EOS_3
2002,6.685916963,3.396765386,32.51548547,107.499088,8.084696044,10.2987363,83.87817222,39.38820951,2.569264798,965.77,109.4968189,63.12133169,116.3674072,301.8796592,16.33613657,8.031034722,4.809548611,1.803759259,185.7018519,78.79589815,187,281,303
2003,6.944816981,2.765111233,32.51796518,104.3324913,8.47626484,8.091178653,75.31918037,31.15536301,4.200409247,484.3,132.4611284,60.54757209,100.8224626,321.6394249,18.72154861,8.272884259,9.306157407,2.781212963,239.2451852,87.34279398,183,288,318
2004,5.946428511,2.924369945,29.54458333,96.41591134,7.774614071,7.646813525,80.06465676,34.19678449,2.946606899,831.97,117.6651571,56.77650353,97.73298239,307.6919931,15.60892824,8.970944444,5.489548611,2.665784722,204.9089259,89.40593056,161,277,305
2005,6.742472904,2.824669589,28.85845034,96.38795751,8.162466895,8.289406393,78.52389669,31.46504909,3.302309361,454,125.7187597,61.40601121,105.073447,329.3373873,15.16735648,10.74795602,5.365453704,3.525159722,202.3857523,103.5060579,194,284,307
2006,6.876145938,2.724803288,32.7772734,96.46939194,8.654304795,8.17659589,77.83439897,29.29521689,3.717733447,496.8,125.992911,58.49228529,107.9988076,311.1107729,17.21154861,11.7261713,7.412046296,3.592377315,223.0535139,95.05168981,203,275,312
2007,nan,1.7472,-15.27,nan,8.741682078,3.588726027,82.73,37.60258562,3.016521689,828.35,116.7778933,-6.82,nan,nan,15.85005787,7.630743056,5.063159722,1.951326389,193.6795301,76.56077083,171,271,302
2008,nan,nan,nan,nan,8.352512523,2.698797814,nan,40.09796903,3.166071266,593.07,119.4085496,nan,nan,nan,16.37491667,8.478421296,6.201733796,2.285296296,212.1788657,79.49314815,170,281,309
2009,nan,nan,nan,nan,8.145236301,1.810655251,nan,42.59765868,3.132361872,665.69,120.1274218,nan,nan,nan,15.94439815,9.188217593,5.67662963,2.556113426,209.9825532,81.6990625,189,281,316
2010,6.556381724,2.446539671,29.7088561,96.63089358,6.545824772,7.464251142,80.81086597,37.21798973,2.970281963,604.1,122.6322974,61.39815607,115.2788034,314.4826226,16.90247917,7.765868056,6.804219907,1.775483796,230.4643403,79.10771759,198,283,314
2011,6.03506229,2.902556164,30.07460674,109.6618197,8.852994292,8.034442352,76.45696359,30.00932078,3.558327055,396.9,131.2850474,60.49973928,97.28432396,329.3296411,15.5919537,9.877414352,5.191131944,3.064372685,196.6804676,101.1639236,166,267,310
2012,7.264239316,2.751381967,29.27503301,94.72679822,8.025998975,7.961311475,80.1768158,35.49943989,3.191120219,527.4,123.5395361,59.25588505,108.3962986,299.9167099,15.64750694,8.884451389,5.254814815,2.519143519,201.9399005,92.0062963,195,283,312
