Year,GPP,RECO,LE,H,Tair,Tsoil,rH,SWC,VPD,P,Rg,Rn,SOS,EOS,Tair_s,Tair_a,VPD_s,VPD_a,Rg_s,Rg_a,EOS_1,EOS_2,EOS_3
1996,5.59251355,1.26186527,13.95873001,78.93985334,6.189314624,5.908287129,80.76944583,nan,2.727709911,814.29,111.6522263,52.52011686,nan,342.661746,15.29099074,8.442451389,5.2478125,2.106780093,195.4706065,69.4527662,nan,nan,nan
1997,7.119301689,3.096019726,36.61857991,95.18918975,8.285437785,7.127325342,74.32826445,16.55241007,3.880642123,709.19,125.0447123,65.0820411,61.29694066,330.1377737,17.06397917,8.384018519,7.238877315,3.479168981,213.9824236,93.22948148,nan,nan,nan
1998,6.717782433,3.107075616,36.97005537,86.04224051,8.536195776,7.655219749,75.16198966,18.04115354,3.770401256,911.24,116.4724954,61.57040403,55.47210599,339.6160214,16.26544676,7.371775463,6.612800926,2.214532407,199.2497546,74.82166204,nan,nan,nan
1999,7.672063288,3.394184658,37.89402169,100.946047,8.975320776,7.840549658,74.88094031,17.27376313,3.941100457,799.17,121.1414903,61.20865009,51.23504798,324.1711763,16.63696759,9.810037037,6.994400463,3.770011574,199.2349236,90.18340046,nan,nan,nan
2000,7.449843152,3.508982514,39.31555669,110.7523999,9.571214139,8.146687158,73.84049461,18.28367543,4.259488274,787.91,122.6939777,57.4571478,62.32716105,nan,16.42012731,10.70580093,7.397032407,3.464083333,205.689463,89.77528241,nan,nan,nan
2001,6.228498288,2.814906849,35.34824658,90.69572109,8.247002283,7.468896689,76.61019827,20.31906279,3.608944635,923.58,115.0928967,55.18353903,55.49396278,nan,16.63659028,9.336828704,6.798233796,2.733550926,200.3120718,76.47517824,217,282,321
2002,6.607152742,3.118650411,28.48880023,85.07268458,8.977858447,7.982982306,75.08300398,19.10791096,3.815914384,1079.95,117.4903739,55.57389566,26.66969515,318.0902797,17.83211574,8.694983796,6.995604167,2.951981481,199.3035255,83.95931019,190,279,323
2003,6.058539899,3.056016986,28.64966895,118.7223161,8.983043379,7.574647831,70.77525581,12.88131336,5.042851598,501.62,135.4462825,68.81142407,53.99080753,nan,19.42597222,8.872206019,10.45158796,3.933928241,234.1743727,96.14384954,197,274,312
2004,7.126882171,3.515857923,33.01802482,94.74617824,8.309721084,7.823658356,75.57858168,13.80486396,3.777809654,849.9,120.731143,76.09849907,5.924883889,249.3534731,16.66151157,9.593673611,7.134296296,3.479775463,213.4896898,94.54437269,210,269,317
2005,7.482276323,3.59089589,35.52433676,92.34207531,8.433459475,8.001506279,74.50335469,16.4126484,4.008067922,869.89,126.9227939,56.29382876,60.04111145,359.4870854,15.93177315,10.79014815,6.626532407,4.238828704,203.4467338,107.252625,199,278,314
2006,6.737789368,3.340600548,29.02032363,106.2624412,9.170751142,8.328479452,75.01462016,12.29678767,4.307491438,743.8,129.2237991,69.19744752,70.82308753,346.2160607,18.07641435,12.04010648,8.555930556,4.148983796,222.1289792,98.64341898,188,273,317
2007,6.731305786,3.474672329,28.52090925,105.339769,9.444066781,8.956587329,76.20540234,18.09734817,3.789643265,883,126.1400685,69.50450065,40.72553545,324.3514405,17.4409213,7.757571759,7.098381944,2.558972222,203.4044398,75.90165509,179,266,293
2008,7.508061172,3.731731148,30.93603882,104.7763972,9.184546334,8.54287056,75.59728861,18.98941314,3.760263547,831.5,128.0600222,72.2078845,75.06704478,340.826894,17.63556713,9.293284722,7.17480787,3.124150463,222.7236759,89.76253472,195,274,315
2009,7.483718721,3.842079452,32.58242123,94.6694143,9.057446347,8.372846461,75.42024944,21.54334874,3.965747717,895.1,127.5179035,74.24171871,56.67875927,316.5244403,17.04182407,10.20874306,6.77,3.468886574,207.5594861,95.28182639,174,263,304
2010,8.104383945,3.609098082,27.10489098,91.92701832,7.445303082,7.725319635,77.48174008,26.74839726,3.592457763,1078.9,124.8093562,74.08007032,22.94126697,277.5353759,17.89476852,8.644449074,7.959587963,2.544997685,222.4921065,91.55345602,201,293,318
2011,7.710502028,3.730232877,30.10184874,109.8517361,9.806851598,8.788112443,71.85407877,26.16495434,4.571559361,766.27,139.2075097,75.99976591,56.88248247,340.9914069,17.29090972,10.94825463,7.132087963,4.390766204,209.3130185,113.6080278,182,275,309
2012,7.467537457,3.362865027,26.65190289,105.5763414,9.098127277,8.364977231,71.55682266,23.61158527,4.699168944,815.6,131.467549,72.81513837,46.97713882,nan,17.55682407,10.17965046,8.12612037,4.15456713,215.6211921,96.37147685,201,284,322
2013,7.085613229,3.504956164,28.58582192,85.05935978,8.476486872,8.109925228,75.27057534,28.48043607,4.108756279,960,117.5695194,67.03400548,31.08362249,247.7425145,18.03861574,9.80956713,8.685291667,3.388905093,220.0240949,83.15414352,213,285,317
2014,7.605249379,3.997075616,27.345629,91.36114414,10.3942266,9.605812215,72.22114141,26.27032477,4.418436644,777.6,125.1004777,68.42762193,nan,345.8736383,17.49249769,11.88410648,8.303384259,3.140217593,219.901463,84.44440046,203,268,316
