Year,GPP,RECO,LE,H,Tair,Tsoil,rH,SWC,VPD,P,Rg,Rn,SOS,EOS,Tair_s,Tair_a,VPD_s,VPD_a,Rg_s,Rg_a,EOS_1,EOS_2,EOS_3
1996,10.47672563,4.635048534,47.58049695,59.61320608,6.116976718,9.403995997,82.64520385,nan,2.097629077,458.27,114.0417129,nan,84.55726305,259.2002911,15.28678472,9.283201389,4.722636574,1.864918981,209.6784097,70.42571991,nan,nan,nan
1997,6.189255415,3.958323836,33.10877112,97.24794928,8.283766553,7.503073059,81.79182801,nan,2.676125,552.35,115.7064954,nan,103.1363545,320.2184579,17.57420139,9.032104167,5.847895833,1.999405093,229.1507245,71.68707407,nan,nan,nan
1998,6.897299741,4.80783726,35.45264897,80.31873399,7.837950342,7.751812785,85.89376142,nan,1.838656393,816.49,100.8780873,nan,105.386703,303.6120813,14.24644676,8.053534722,3.272740741,1.315678241,184.9028727,56.4235463,nan,nan,nan
1999,7.165149691,4.895305205,38.79793493,83.2872661,8.614431507,8.057627283,86.26186919,30.66185333,2.143082192,823.54,110.8256501,nan,97.78618738,328.4170543,16.01783102,10.28294213,4.263775463,1.652925926,205.9737755,75.44312731,nan,nan,nan
2000,7.258024187,4.648597814,31.34702698,81.17194866,8.789319217,8.187678734,84.98427386,24.21955146,2.102110087,646.58,103.5778854,nan,101.9904331,311.4711133,14.3673588,10.26477315,3.4890625,1.451009259,182.6145255,61.19811806,nan,nan,nan
2001,7.665714168,4.507809315,29.18406678,79.41402901,7.893011986,7.686184932,85.50264993,25.76311358,1.986804795,789.45,110.5904309,nan,105.0151098,319.2185384,15.51162037,9.926828704,3.840199074,1.339912037,208.2000764,61.4532338,193,254,306
2002,7.039477978,4.317338082,29.5935645,80.92987096,8.673656393,8.207820205,84.21466924,25.8167363,2.338025685,1070.9,113.1568305,nan,107.5939531,313.0004992,16.86947454,8.848530093,4.3738125,1.916796296,208.5176389,79.89263889,190,295,337
2003,7.67701904,4.700352877,34.27468379,86.42298084,8.264026826,7.685332763,83.7736732,21.38831564,2.390363584,535.66,120.9863773,51.1693463,98.9729847,307.453125,17.07529861,8.847525463,4.667136574,1.649571759,220.8332708,74.97959028,194,282,315
2004,8.028376483,4.949152459,36.6773076,88.35543981,8.024943648,7.634569672,84.60633903,23.92576901,2.055458219,727.6,110.2355982,42.92833686,89.04722856,312.1021932,14.86521065,9.883393519,3.528611111,1.879013889,191.1660764,80.72171759,183,278,317
2005,7.534340866,4.677289863,28.08255365,89.78824421,8.289773402,7.85061016,82.99020648,22.44113813,2.438949201,545.24,115.2049583,41.11919734,96.29269113,323.9486065,15.42394676,10.66322454,4.247175926,2.227990741,190.0542431,80.44177083,191,281,318
2006,7.727632946,4.620352877,34.79019178,86.15252805,8.926557648,9.177496575,82.46062485,23.30633162,2.761546233,852.39,117.1719892,14.25286592,101.0822313,332.3049973,17.36899306,12.02720139,5.82337037,2.2450625,224.3320625,76.46816898,186,279,327
2007,7.847655013,4.726099178,33.09085445,80.07442841,9.273797945,8.608703196,82.63947116,24.63789212,2.483563356,1154.51,115.4228253,48.31531077,90.40034206,326.3785676,16.2719213,9.03655787,4.177405093,1.699861111,196.6992153,75.56396065,179,276,307
2008,7.848083288,4.538261749,31.86229053,98.42020958,9.204882741,8.247719148,81.05745475,22.10423611,2.831148679,807.55,125.3005692,55.89093117,101.5802828,336.0966457,16.2069838,9.9715,5.274747685,1.843550926,222.6926944,81.31618056,188,280,318
2009,7.815640122,4.448059726,37.49734874,87.29431698,8.594368151,7.925694635,81.70786587,22.10406621,2.734079338,686.33,124.0195599,58.97627225,86.14590441,309.6793795,16.29439352,9.894363426,5.095891204,2.16337037,223.0892801,76.18080093,196,287,320
2010,7.716625939,4.310709589,31.47306107,72.64904697,6.882946347,7.177606735,85.08634589,23.34957934,1.989348174,863.2,114.1863813,58.19834389,103.4265431,295.1833851,16.58509028,8.665298611,4.024247685,1.519490741,212.2600787,77.78869213,197,289,321
2011,7.627808765,4.486127671,39.31145548,81.12736776,8.736144406,7.890559361,83.1592814,26.52411929,2.267144406,1561.76,117.118125,57.7166232,94.58638575,345.4560361,15.95652778,10.21803009,3.572886574,1.659076389,198.1826111,78.86913194,182,230,306
2012,8.031570195,4.393060656,33.55936077,80.07601589,8.179727345,7.565488388,81.88007728,26.52388889,2.414632286,1536.33,114.7719558,48.89456675,102.2264094,314.2186883,14.93436343,9.713423611,4.067078704,1.823791667,203.4403148,67.41233102,183,303,329
2013,7.269599452,4.064449315,28.56608904,94.31085655,8.306909247,7.533182078,82.29081944,26.52297717,2.438048516,672.89,120.9735166,60.6034244,105.1776786,312.92106,16.45786574,10.16736111,4.794256944,1.642851852,229.1194329,68.03878472,185,288,324
2014,8.784935717,5.474343014,39.04449943,117.8669811,9.585282534,10.56341039,83.64824287,25.89264155,2.486896689,1027.96,103.9081935,107.598613,101.5280383,337.5147901,16.99212037,11.49565741,5.692625,1.2129375,202.6246157,53.03909722,178,279,321
