Year,GPP,RECO,LE,H,Tair,Tsoil,rH,SWC,VPD,P,Rg,Rn,SOS,EOS,Tair_s,Tair_a,VPD_s,VPD_a,Rg_s,Rg_a,EOS_1,EOS_2,EOS_3
1997,nan,nan,31.58368571,148.9211029,14.05451053,14.38601904,83.1107358,nan,3.392196472,859.29,175.7942097,118.1155504,nan,nan,19.95479861,15.68563194,4.192368056,2.888277778,273.3608032,127.0159468,nan,nan,nan
1998,nan,nan,33.99660616,128.4277606,14.40535674,13.24675742,84.28321876,nan,5.120255708,658.1,177.7614618,124.6955795,nan,nan,22.36013889,15.4550162,9.562490741,4.744479167,283.6653079,134.1102338,nan,nan,nan
1999,nan,nan,3.26,nan,14.95736301,17.47581164,nan,nan,5.398387557,833.5,174.9791204,nan,nan,nan,22.37526389,16.3543588,8.661298611,5.061516204,272.3258657,134.8740324,nan,nan,nan
2000,8.112876344,3.971679508,36.05386805,167.9532084,13.96358834,18.14358607,68.47521675,17.19434557,5.513228028,707.65,179.07507,113.5808534,125.1096367,359.2199338,19.92467361,15.67784491,8.130583333,6.010689815,306.7313171,138.962963,nan,nan,nan
2001,7.012845832,3.406252603,39.62784304,180.9556583,14.65091096,14.14996689,62.50527657,15.16207763,6.734300799,571.98,185.9949812,115.4572757,nan,nan,21.39041435,15.19344676,10.016,6.626696759,310.4363495,149.7922847,201,242,285
2002,7.602106648,4.460841644,46.42976826,154.5986541,14.07458961,14.37694635,60.02258983,16.52354452,6.449464041,781.12,171.0012129,132.7187298,nan,274.6237285,20.03158333,15.74982407,9.836303241,6.447127315,269.6938333,144.4527917,185,254,331
2003,7.659943443,3.866556164,46.32514098,178.9446162,15.83219806,14.25670719,51.0129487,16.94823973,7.817373858,689.88,179.3495006,113.5735124,nan,187.9536338,25.20599537,16.88160648,13.14136111,5.048715278,282.7147315,136.6654236,nan,nan,nan
2004,8.531983119,3.970527869,42.53565858,156.7570988,15.00310052,13.91892247,77.00707959,17.61641166,4.824608379,1085.12,167.5877721,103.9249003,26.70369941,277.6344122,22.29115972,17.16083796,8.829657407,4.266972222,279.6771551,134.8211319,200,246,295
2005,6.173476772,2.63320274,30.35418493,158.7422586,14.69534189,13.43328139,75.86417768,16.79997489,4.803662671,1142.97,170.999512,104.1875401,nan,301.0796881,22.54253241,16.60359259,7.585173611,5.073805556,273.8125532,128.3086921,nan,nan,nan
2006,6.48679309,3.323574795,38.85652854,163.640912,16.09105251,14.01341952,77.00524673,16.07748345,5.302736301,581.14,183.7175616,114.7828717,nan,nan,23.38278241,18.15359259,9.286363426,4.880372685,285.5831991,153.5979259,219,262,323
2007,7.27345544,3.865743562,31.39026598,171.5165455,16.46329053,14.39829909,76.49084625,15.46847317,5.534807078,523.7,181.6494532,120.021681,nan,363.7905215,23.37206019,16.97067593,9.456530093,5.721615741,290.6174329,147.150713,206,249,309
2008,8.526094966,3.64377377,25.93926969,169.0021675,16.42085895,14.0153791,78.17043843,16.16035804,5.175446266,1188.77,182.2370885,131.1268472,nan,nan,23.53936343,17.89055787,8.368847222,5.374296296,293.0252593,151.5135486,201,233,309
2009,nan,0.6816,0.89,6.881976912,15.96307363,14.82428307,76.46245439,15.6565765,5.520844749,985.3,181.9252158,147.4222193,nan,nan,23.85978472,17.12557639,8.974631944,4.8501875,295.2030023,144.4072708,nan,nan,nan
