Year,GPP,RECO,LE,H,Tair,Tsoil,rH,SWC,VPD,P,Rg,Rn,SOS,EOS,Tair_s,Tair_a,VPD_s,VPD_a,Rg_s,Rg_a,EOS_1,EOS_2,EOS_3
1991,1.364212587,1.705100063,nan,114.1237813,8.014700611,4.585798385,77.62344464,nan,3.34401564,2524.12,137.5540933,17.19492422,nan,nan,16.21353241,8.935194444,4.884717593,3.418175926,197.2760046,123.4274491,nan,nan,nan
1992,4.625115381,2.672346448,33.2773621,98.80814707,8.386405965,8.57973076,78.52175055,nan,2.745804303,2203.4,140.7785804,60.16085301,137.5272788,296.1176447,18.77199537,11.06087963,4.465791667,2.388888889,210.1497778,118.9582315,nan,nan,nan
1993,5.811008877,3.302386301,48.2090839,99.33155469,7.515675228,8.23402911,74.03706985,nan,3.351159247,2453,149.266629,63.40948144,115.3045416,299.7309442,17.67021065,8.405020833,5.225085648,3.363810185,232.3630972,117.2254444,nan,nan,nan
1994,4.905787851,2.848327123,32.94392066,110.4841808,8.552369292,8.886849315,74.92178911,nan,3.245247717,2652.2,150.0957888,64.64335106,128.93465,300.9830748,19.16196759,10.02058333,4.051805556,3.069310185,220.6448056,125.47725,nan,nan,nan
1995,4.731532756,2.55251726,35.33607877,113.1612341,7.647670662,8.990621575,76.42460088,nan,3.077426941,2154.8,153.3250913,83.82800027,133.2294865,300.1120319,19.19633333,9.343861111,5.180944444,2.823027778,237.0066759,125.4044861,nan,nan,nan
1996,5.107101215,3.021034426,32.57700592,108.8072465,7.419064777,8.809736453,76.64343831,nan,2.965398452,2939.2,140.6789561,74.47735626,133.1765735,298.2023895,18.0472037,9.27875463,4.331659722,2.868578704,207.0482315,115.7020278,nan,nan,nan
1997,6.432257422,3.542319452,36.92792123,119.845657,7.129138699,7.84721347,72.8808856,nan,3.207990868,1865.4,147.0272934,72.38792148,140.6641988,295.8051405,17.59674537,8.795449074,5.394918981,2.674636574,224.091912,119.9243981,nan,nan,nan
1998,4.411488561,2.788692603,32.8111016,104.2713383,8.892733447,9.596719178,75.08943347,nan,3.491530251,1909.8,147.001145,75.76156381,113.2285889,296.5372293,18.67021759,9.86300463,4.623173611,3.3818125,214.5909213,127.0822917,nan,nan,nan
1999,5.155988239,2.778024658,37.25123801,123.3962586,9.010631279,10.09067466,71.46828882,nan,3.998553082,2054.4,157.4431621,95.38843865,126.8414901,315.0990771,20.15919907,11.53209722,6.653175926,3.343444444,235.805713,124.349588,nan,nan,nan
2000,8.935,3.239846448,39.40505408,115.056793,8.125306239,8.566223816,77.29082767,nan,3.17586464,2165.6,138.6576355,58.48923941,119.9357412,294.439607,17.65901852,9.229296296,4.367351852,2.604680556,204.3284491,121.5085417,nan,nan,nan
2001,9.373170181,2.934953425,33.24544977,117.0890055,8.691772831,8.370058219,72.85101477,nan,3.70966153,1607,155.4086336,77.85963166,116.1587385,302.900829,18.27283796,11.28274537,5.540796296,3.084148148,230.4282454,132.5801898,206,274,302
2002,8.119604333,2.927081096,37.19299201,116.6677788,8.478534247,0.477447489,76.03815557,nan,3.250869292,2013.4,149.4985788,nan,134.4045649,308.6763631,17.86647222,9.897094907,4.670875,2.969217593,228.2941759,121.1065648,229,287,323
2003,11.89478621,4.81955726,23.96875628,104.3561397,7.369707763,8.098019406,74.35470342,nan,2.949567922,2625.6,142.1586564,62.47990301,115.0338081,292.0131539,18.5978912,10.05956019,4.095631944,3.4289375,213.8255509,108.4249722,216,278,300
2004,8.512648853,3.581564481,30.38613217,113.54156,7.524846311,8.7568898,73.04158934,nan,3.481749772,2350.8,161.0183789,38.94812095,107.6959209,313.0001845,18.21212963,10.57483796,5.559199074,3.224928241,238.1692685,139.2528704,217,284,312
2005,7.830256881,2.718793973,27.16670434,111.5528334,7.984531963,8.859763699,73.22000571,nan,3.53538242,2968.1,152.7169954,-3.061741613,112.2825749,315.6241561,19.52449074,10.84701389,5.467460648,3.343150463,225.4512963,111.7270556,223,288,317
2006,8.155812055,3.04736,31.87413584,124.8736201,8.936312785,8.564144977,70.90937322,nan,3.907513699,2288.9,153.7543836,99.83501362,124.1056425,309.6597898,18.99393519,10.16509259,5.972877315,3.302125,228.0342037,125.7645278,214,271,294
2007,6.727001336,2.606046575,33.81018721,119.7449704,7.64596347,7.881211758,68.66821918,nan,4.145812785,2380,162.8404435,89.9144822,98.66845129,306.9378566,18.29803009,10.8564375,6.129134259,3.841696759,242.2358218,141.9919259,210,280,307
2008,7.70052642,2.729386339,28.61293033,114.027205,7.639028916,8.199982354,71.80171334,nan,3.64032673,3252.2,155.3908191,nan,116.493598,314.6852499,18.21143519,9.640578704,5.380474537,3.321412037,233.6572407,128.8992037,214,276,306
2009,8.375844992,3.290284932,36.69145434,116.2814881,6.983148402,10.86828482,68.72725373,nan,3.769334475,2658.2,153.8802877,127.8260261,105.9646248,312.4332921,16.45066204,8.556893519,5.244011574,3.275157407,221.4910694,126.2717546,216,282,307
2010,8.851519392,4.827705205,-1.36,120.4811134,9.025224886,4.093341324,68.1941895,nan,4.74202968,2322.4,158.530363,124.4398306,96.76973922,310.9570432,20.08719907,10.84469907,7.31262037,4.501493056,234.3573889,125.8900556,225,275,298
2011,9.303514272,3.989057534,32.92143273,106.5525844,8.746331621,7.094047945,71.7755535,nan,3.700587329,3269.4,159.6404692,114.5095609,112.1840475,314.0348631,19.63579167,11.33190509,5.906550926,3.575171296,250.9115648,128.2742454,233,275,302
2012,8.956936042,2.97518306,37.14491348,111.7631792,9.588050433,10.06101605,75.38728082,nan,3.574401184,1681.4,154.8714219,83.29804225,126.034823,303.2396537,19.65588657,10.49563426,5.815013889,2.572046296,240.6721898,122.3437315,221,268,294
