Year,GPP,RECO,LE,H,Tair,Tsoil,rH,SWC,VPD,P,Rg,Rn,SOS,EOS,EOS_GPP,Tair_a,VPD_s,VPD_a,Rg_s,Rg_a,EOS_1,EOS_2,EOS_3
1996,4.255711691,1.885786031,30.15291968,114.3670898,6.097757728,nan,68.16764459,nan,3.781873968,1148.21,139.95531,85.34151228,65.54774522,301.3002805,154.8117273,8.415106481,6.186738426,4.178196759,213.8138079,111.6449028,nan,nan,nan
1997,4.183662308,1.955915616,30.615379,122.0945468,6.897183219,nan,61.2946903,nan,5.318176941,814.57,145.3190548,110.2549444,87.68305126,338.1937997,159.7269192,9.118787037,11.29547685,4.016481481,235.2456829,105.6055231,nan,nan,nan
1998,4.027223677,2.034988493,32.86297546,117.550782,7.401433219,nan,67.96647595,nan,4.257429795,881.59,142.6129189,115.4168773,89.73042532,nan,158.3677551,8.643916667,6.912560185,3.736861111,220.7240833,106.4681319,nan,nan,nan
1999,4.36998521,2.081509041,34.48564155,133.5108397,7.68209532,nan,66.03949494,nan,5.03559589,1034.75,151.70027,93.48997462,64.96653387,245.0497026,150.609457,9.905884259,9.413939815,4.102238426,235.1809954,113.5377824,nan,nan,nan
2000,4.816813436,1.898389617,32.91017077,119.841663,5.980252732,nan,72.43762039,nan,3.92549408,832.75,145.3443238,88.51979058,56.07984323,353.513314,158.8729258,8.690800926,7.894143519,3.312053241,227.9859468,118.9745718,nan,nan,nan
2001,4.513268616,2.147287671,27.48139555,127.3290773,7.204199201,nan,69.02758847,nan,4.552026826,535.73,156.6813898,91.3761101,71.08900374,nan,166.3674299,10.03554861,8.220909722,4.165210648,233.121875,124.4486644,224,265,285
2002,4.435779754,2.044957808,23.2853145,127.2221653,6.557044521,nan,68.14887558,nan,4.227511986,965.46,148.9299161,76.96227036,46.77138249,265.7145678,144.8221757,8.362571759,7.902224537,3.856594907,231.8981227,113.9597083,209,255,288
2003,4.346844262,1.815264658,24.98755822,121.84402,5.924625571,nan,70.95446345,nan,3.526708904,1013.26,146.9144127,76.24919563,77.96292897,297.1902934,159.9294231,9.048472222,6.057935185,3.541863426,219.617456,117.1076875,222,259,284
2004,4.531151316,1.716081967,22.85827186,125.7438822,5.72119877,nan,63.93999167,nan,3.949392646,792.79,148.7351127,51.03927311,82.07954341,nan,165.2282759,9.229789352,5.8661875,4.598949074,220.5540625,123.345331,223,261,285
2005,3.996964001,1.571732603,27.4340782,118.5860949,6.551644406,nan,87.85,nan,4.353457763,1219.74,145.2377015,68.56207634,103.9866266,322.5441632,152.4955495,9.73268287,8.952048611,3.825395833,237.3441065,106.9043218,225,273,307
2006,4.123851852,1.726330411,22.203871,113.616901,7.727152968,nan,nan,nan,4.250006849,1029.11,144.5836969,62.84577498,47.45381625,342.9824643,133.8030252,9.495365741,7.5539375,3.48800463,215.1737176,112.7630486,229,263,297
2007,4.216236902,1.566561644,21.52702055,125.1594614,5.878538813,nan,nan,nan,4.752919521,886.93,155.6243567,89.29835116,75.31916918,355.6311997,149.0018095,9.340423611,9.237060185,4.154925926,242.2405532,124.1851921,209,262,312
2008,4.190415197,1.734825683,17.29989299,114.9296078,6.456255692,nan,nan,nan,3.919170651,1122.12,147.5780743,79.00508828,76.13467671,320.4623865,156.7876077,9.089141204,6.836210648,3.606675926,215.8644051,114.0412616,222,256,285
2009,3.861141148,3.634736986,24.41578368,142.1200062,6.029457192,nan,nan,nan,3.982075913,937.39,144.7197203,72.55335574,86.50143232,358.9691991,147.0647236,8.184143519,6.564006944,3.676967593,206.4078796,116.8002593,220,260,279
2010,4.73876425,1.780284384,24.65936301,118.2191674,8.565092466,nan,nan,nan,4.67639726,1235.84,144.7192631,78.56410727,118.6808768,321.8600989,193.082515,10.02136574,8.352412037,3.697997685,222.2579282,107.7670069,212,257,284
2011,5.137931074,2.005891507,27.97162443,100.8344684,7.617113584,nan,70.14796107,nan,3.941012557,976.86,140.9932723,76.93744031,80.50159021,258.4778112,174.8290244,10.88937269,7.5465625,3.904921296,220.5005602,112.2034491,206,253,286
2012,5.427403334,2.023661749,30.29681068,111.5114648,7.569995446,10.20465258,65.65378665,nan,4.177167008,1025.92,145.6606472,73.57674406,59.59986048,321.3130939,186.1903982,9.593770833,7.50506713,3.644476852,223.8669352,112.7259282,218,257,277
2013,5.356047809,2.054373699,22.9040508,113.0304297,6.726955479,6.133408355,nan,nan,4.223771119,954.89,143.0185394,nan,63.62364116,341.7421322,190.9144144,9.037354167,7.933696759,3.908400463,214.1353588,115.6685787,206,260,317
2014,5.673124644,2.107863014,18.21369292,116.2769064,6.546083333,7.10325683,nan,nan,4.21822089,1111.87,145.0405953,nan,73.77449203,309.0085214,207.8399528,9.582384259,8.071594907,4.0186875,222.5716458,114.2816528,222,254,291
2015,5.218906357,2.000603288,24.71800742,115.1779924,6.282208904,7.385270548,nan,nan,4.345243721,891.29,149.9924486,nan,81.64136243,319.8059818,201.5996078,9.849798611,7.434518519,4.291618056,219.4650231,122.1985301,219,268,300
2016,5.201846954,1.860942623,26.23613046,112.6482535,7.385970515,7.389194558,nan,nan,4.726638775,823.26,150.0839652,6.089227053,80.35568678,325.0560894,196.0545366,10.30075694,9.140083333,4.194388889,229.6350208,115.0301528,224,264,290
2017,5.982183509,2.370345753,20.62416381,105.8985786,7.207019406,7.499570717,nan,nan,4.445776256,934.87,146.9664121,82.78625904,88.5425243,330.1539615,243.7384264,11.04656944,8.248071759,4.535912037,233.2968426,123.8898912,200,254,285
