Year,GPP,RECO,LE,H,Tair,Tsoil,rH,SWC,VPD,P,Rg,Rn,SOS,EOS,Tair_s,Tair_a,VPD_s,VPD_a,Rg_s,Rg_a,EOS_1,EOS_2,EOS_3
2005,9.694319894,4.564199144,62.23959986,90.4343207,15.55439523,15.67230804,73.08414945,32.81721959,5.560111885,1546.1,162.8944038,98.18721854,nan,294.227652,24.74183333,18.04317593,7.439386574,5.666071759,211.4466366,146.0655926,222,266,306
2006,11.13197817,3.906768767,55.19657192,82.82142158,15.92342979,14.94340246,70.43728181,32.45701147,6.107730023,1340.1,171.4563881,103.9946912,nan,nan,24.33350231,16.3013125,8.363893519,4.935152778,223.7660116,143.2077454,234,269,297
2007,10.37349111,4.286393425,60.31797831,102.523964,16.05749429,15.78021383,67.89330037,21.75431906,6.796532534,892,178.0287443,103.4251054,34.70900359,300.9937885,24.22442824,18.12459722,8.979534722,6.966094907,235.8267222,155.9808519,228,266,302
2008,10.23525608,4.503698907,48.75727744,115.3926577,15.90308174,16.12889832,70.03976509,14.12954895,6.532457309,960.6,169.0501452,101.4329933,58.89592543,nan,24.77672454,16.46516667,10.77025231,5.56775,234.3809144,143.166463,199,258,307
2009,10.43294055,3.669290411,49.21480993,101.7398026,15.55288071,15.38178601,73.02419728,23.23901366,5.587563927,1329.6,163.0172968,107.644955,51.79047364,321.7929443,24.34815972,17.21796991,8.143356481,4.638613426,225.4817824,126.6828356,223,253,295
2010,8.845736409,3.777895342,53.08847032,106.3493146,15.47543493,15.55362941,68.85110585,32.94136815,6.718344749,1255.11,179.3615811,105.4885605,37.64924169,339.3482563,25.76155093,17.4946875,9.746497685,6.843016204,240.6444282,159.4710301,233,281,329
2011,15.03191447,8.113429041,77.71620898,79.13915601,16.26287671,15.66531681,68.40858644,23.56331146,6.479179795,1239.07,171.3397043,120.1050057,nan,nan,25.58773843,17.06910648,11.21058565,4.682395833,240.2500463,140.1096481,214,271,308
2012,12.69129632,5.691068306,46.49645926,116.0899699,15.50486566,17.84747157,79.87654308,30.15166663,4.666741234,1187.25,167.1645554,106.790639,119.9703144,344.0013692,23.14656713,14.60666667,6.778127315,3.24918287,227.5790764,140.1778866,187,254,298
2013,10.34278237,4.642372055,93.83089384,100.7637317,15.59925171,15.57556216,75.43863154,29.02633105,4.909038813,1074.22,166.3934486,99.45986398,78.1647197,323.8923867,24.34158796,16.74543519,6.611900463,4.662530093,219.5705185,145.3619097,220,261,306
2014,10.42059661,4.170399452,100.472137,101.4332024,15.26975799,15.10511376,72.03028826,22.7367992,5.483215753,1170.09,167.1160314,112.1727433,78.60367541,nan,23.83355787,17.02625694,7.766935185,5.042108796,227.6410787,141.5054722,222,275,312
2015,10.13488774,4.413787397,69.2533078,107.9456082,16.45320148,15.96327987,77.434217,27.6686016,4.888538813,1550.19,166.1854458,104.8710179,70.88372561,337.7528398,25.10316435,18.28482176,7.210229167,4.078368056,236.7718032,135.3475093,210,266,308
2016,10.06822416,4.196461749,57.82473702,102.7743831,16.4687648,16.31525838,75.65832088,34.68812614,5.192184085,1443.1,172.1688314,103.2535042,50.26955204,333.2272081,25.30263657,18.41238194,7.323145833,4.563962963,241.0770833,147.7782014,196,240,300
2017,7.448871914,3.053099178,92.0207032,90.87656601,16.77738642,16.3590713,77.38990045,24.22627112,4.913187215,1276.78,171.3219874,102.4695017,85.20259358,239.2254332,24.70156713,17.95442593,6.027541667,3.9871875,224.7305949,147.6184005,229,267,309
