Year,GPP,RECO,LE,H,Tair,Tsoil,rH,SWC,VPD,P,Rg,Rn,SOS,EOS,Tair_s,Tair_a,VPD_s,VPD_a,Rg_s,Rg_a,EOS_1,EOS_2,EOS_3
1998,0.517406258,0.389941161,32.34469081,222.5056935,2.239452594,nan,48.48233686,nan,4.434638393,294.76,186.0996598,nan,nan,nan,10.72197917,4.01019213,6.94094213,4.671006944,254.7230509,154.6030278,nan,nan,nan
1999,3.318650245,1.148813699,51.31225057,155.9230341,2.322124429,nan,51.640121,nan,4.388903539,284.53,189.1535365,nan,113.80372,323.0297567,11.30955324,5.022472222,6.410224537,5.945840278,247.2021481,175.9214167,nan,nan,nan
2000,3.884408626,1.258820219,51.41692168,160.253035,2.653035633,nan,51.46796903,nan,4.915541325,276.91,192.3290306,nan,108.2092711,335.7862318,13.04496991,2.39774537,9.170685185,4.587946759,263.8436111,177.2972917,nan,nan,nan
2001,3.871791272,1.380369315,48.2370371,152.5003794,2.85966153,nan,50.80375685,nan,4.860527397,301.05,187.5964075,nan,87.12064747,323.1888539,12.83904398,5.128597222,8.439993056,5.739956019,251.640463,169.1011574,nan,nan,nan
2002,3.8086205,1.326155616,41.10591724,167.8387981,2.215571918,nan,48.0921113,nan,5.053265982,241.33,195.3300936,nan,80.64007701,332.7655613,13.58846991,2.35680787,9.864793981,4.279680556,267.2639583,163.5452014,217,244,273
2003,3.760147364,1.235558356,44.91764498,158.8964786,2.658135845,nan,53.91439326,nan,4.633303653,182.21,186.4376558,nan,126.958857,315.1041653,12.61724074,3.40012037,8.276997685,4.777159722,252.4080671,168.0251157,226,247,334
2004,3.354680995,1.125280328,44.92957252,139.0421565,1.93526127,nan,56.59543659,nan,3.974104622,349.69,181.8329332,nan,120.3711508,309.9313864,10.03390046,3.350203704,5.850756944,4.203210648,252.0067315,147.5279676,229,260,377
2005,4.016105322,1.427873973,44.88171975,160.0167765,2.556367009,nan,53.13166438,nan,4.67058105,232.92,182.712996,nan,130.8877047,322.9813593,11.88445833,4.984840278,8.063032407,5.61425463,262.6185069,154.5558287,232,256,326
2006,3.737742246,1.422644932,46.12586872,159.081883,2.35919863,3.027845398,52.20762728,12.43611815,4.52508105,295.53,188.6886941,nan,122.4815578,310.6680297,12.76122454,2.571726852,7.978097222,4.042238426,237.8166019,161.5303588,205,256,319
2007,3.762151321,1.516340822,47.10371518,146.2501578,2.698503425,2.950853311,53.69316667,13.36812785,4.583151256,281.8,184.1207118,nan,102.5477219,304.1116404,13.01327778,4.820905093,8.09530787,5.258840278,245.1045532,172.5028519,214,239,282
2008,4.502275952,1.338101093,49.94795879,159.1268763,1.438516621,2.286869535,53.81410348,10.05220799,4.322723702,305.55,193.1256404,nan,155.2098035,nan,11.90995833,4.23124537,8.130076389,4.714541667,263.2057245,175.83,231,257,334
2009,4.115937705,1.218843288,45.79263128,150.154672,1.707964612,2.369216235,55.31205365,8.938644977,4.084019977,226.19,185.4254852,nan,116.4423741,303.6447856,10.98762037,2.943412037,6.791099537,4.325189815,252.4098287,160.8070069,220,259,322
2010,3.58201762,1.373876164,47.50993379,156.1337972,2.293510274,2.63784589,55.74198858,10.4855879,4.347431507,245.35,190.0192517,nan,133.6779953,311.1736217,12.39769907,4.439342593,7.242131944,5.61519213,257.2656644,180.6658565,227,255,326
2011,4.389026962,1.395887123,48.75410559,157.1455355,1.803178653,2.72899766,54.82671689,11.67852226,4.260977169,280.49,196.1225685,nan,139.540068,315.2793178,12.99738657,3.219905093,8.191314815,4.411997685,279.7746898,168.0452199,237,265,284
2012,3.843439511,1.475728962,47.01597791,159.4415186,3.380185565,3.173189321,49.80927482,8.629371585,5.094873065,239.96,191.3904514,nan,101.0790309,314.560985,13.54615509,4.493194444,8.722851852,5.110171296,250.069544,167.6457407,215,233,254
2013,3.396073129,1.374756712,51.75576541,153.8247978,1.70822089,2.495547945,56.73786986,10.76118151,3.9897871,285.8,184.3743647,nan,124.5413403,334.3286388,12.5837338,3.259097222,7.314148148,3.729733796,246.0967269,156.6464653,220,238,261
2014,4.023396104,1.434836712,57.64311986,152.2819741,2.040327055,2.570375021,58.66122546,12.65329338,3.873972603,386.85,186.4887757,nan,126.6494599,313.4031469,11.43338657,3.685581019,6.347400463,4.241956019,254.6605486,164.6942431,nan,nan,nan
2015,4.103369066,1.512499178,46.41284475,140.4771817,2.99629395,3.001809361,62.8929726,12.60104452,3.748742009,367.2,183.6922894,nan,113.6118501,315.3778146,12.41930324,5.353777778,6.033273148,4.663236111,252.5299259,168.1481829,215,243,272
2016,3.981804495,1.375272131,35.91388604,160.1398753,2.944990323,2.953922127,56.11152322,9.020702413,4.434273679,270.2,189.1052681,nan,126.5403448,322.8082514,12.97605093,6.009039352,8.056696759,5.255893519,267.5048148,176.2171319,219,247,288
2017,3.862951016,1.432728767,40.14341267,148.3141534,3.149019406,2.775295159,57.8288145,12.51057078,4.144210046,329.81,187.0854983,nan,124.3412402,311.2977597,12.1991412,4.507104167,6.648430556,4.639576389,251.8046366,160.6572963,217,241,270
