Year,GPP,RECO,LE,H,Tair,Tsoil,rH,SWC,VPD,P,Rg,Rn,SOS,EOS,Tair_s,Tair_a,VPD_s,VPD_a,Rg_s,Rg_a,EOS_1,EOS_2,EOS_3
2008,2.904382682,1.228851916,40.80935008,151.2219391,18.52423237,21.08702409,37.15027716,6.465091478,15.34088746,479.33,243.1806672,92.12503112,176.5120528,280.2003615,25.80117593,20.60254861,23.78052778,15.35978935,288.5590255,221.1443056,241,278,344
2009,1.214984097,0.649964932,21.76988756,144.4822028,19.18536473,19.24345938,33.00934185,6.225368151,17.74881678,238.49,241.2284863,80.99868546,nan,212.1675515,26.57732176,20.73850463,28.26249074,17.52606019,292.3049931,216.0149954,nan,nan,nan
2010,2.75447684,1.150491507,35.75258961,136.2006156,18.28010046,18.00460077,38.03883028,7.4092,15.31502169,539.59,241.6429481,93.84148386,nan,284.3593139,26.58549306,19.79903009,26.31051852,14.35561343,290.0186597,217.2957269,251,282,357
2011,1.667758795,1.020383014,27.28801712,143.3067986,18.59947831,17.45633447,34.32869734,7.847115297,17.70761815,349.14,243.6124053,84.74605948,nan,241.6579092,27.03922454,20.25411343,28.95261111,17.95660185,287.3570949,205.3241898,nan,nan,nan
2012,2.739202503,1.028400546,34.38500968,135.9715704,19.12904941,16.94205103,34.58942436,7.502457309,17.01883254,386.98,241.1461766,86.24138587,176.4113241,277.3317394,26.60680787,20.58821759,25.72098611,16.44504398,280.9855116,209.313125,273,301,369
2013,1.625046147,0.817259178,26.34300685,150.5356264,18.64455594,16.91806958,35.05183183,8.13979863,14.74797945,308.81,242.0100947,79.70459983,nan,267.0385137,27.05918981,19.76456481,22.63076852,13.80244907,275.5036551,214.4785116,252,275,319
2014,2.05951468,0.937267945,32.78093893,155.0046489,19.02498573,16.40696717,35.32441721,7.700427968,14.6291347,394.42,235.757516,91.78895998,nan,289.2183316,26.18462037,19.78677778,22.17449769,10.15828472,287.0110532,200.2577176,242,287,338
2015,3.013085982,1.301920548,40.14354053,144.3922956,18.37355993,14.98901835,41.78354514,10.01825829,12.32940183,575.89,225.4649167,93.76959478,nan,333.8592527,26.10292593,19.31362963,20.38540509,9.592946759,270.0262269,190.2796019,265,310,343
2016,3.17617754,1.19239071,37.79319501,155.3790853,18.95544285,10.22773126,36.03664818,7.715252561,14.92764913,454.12,239.9556182,89.19975852,nan,318.564773,26.39562731,20.76596759,22.77256713,14.07511343,285.3894444,212.1171528,nan,nan,nan
2017,1.856680585,0.877270137,28.27094292,145.9252194,19.90005537,6.69,33.05511446,6.920171347,14.97839098,366.21,239.5670457,79.69366423,nan,262.4666626,26.87019676,22.24224537,20.08388426,15.62490046,286.6698171,217.3883287,237,271,363
