Year,GPP,RECO,LE,H,Tair,Tsoil,rH,SWC,VPD,P,Rg,Rn,SOS,EOS,Tair_s,Tair_a,VPD_s,VPD_a,Rg_s,Rg_a,EOS_1,EOS_2,EOS_3
2001,3.655232995,1.714376757,22.59246952,81.94559588,5.38842628,6.804324015,nan,20.9356664,2.705771448,513.51,147.8456265,29.04302567,nan,nan,17.84840741,7.793613426,5.16350463,2.456715278,238.3628634,111.9696088,230,266,283
2002,2.96777423,1.429798904,28.6010976,84.11840915,4.309194064,7.003548932,nan,22.28517614,2.576089612,873.91,149.2483037,63.40304351,131.343751,298.8534787,18.19221991,5.68156713,5.48805787,2.010472222,236.5220394,107.9903079,231,270,295
2003,3.021120759,1.413046027,20.19192637,86.00732618,3.602128995,6.452148343,nan,18.23330993,3.326508562,435.87,150.7026073,67.0328525,105.9193332,284.873224,17.16389583,5.807680556,6.364805556,2.736962963,240.4462963,111.1946991,215,271,303
2004,3.477006036,1.746277049,23.33457195,82.55125759,3.584530965,7.268284052,nan,20.4927089,2.638978825,403.5,144.522566,57.74936045,136.8013674,293.4307046,14.97769907,8.062122685,4.881712963,2.873770833,222.4738843,112.6883171,219,273,300
2005,2.724344898,1.73617863,28.05241231,82.95647903,4.95536758,6.588255158,nan,21.05427626,3.206863014,655.42,153.3810913,73.59244712,133.9026988,253.524095,18.36494213,7.798724537,6.588393519,2.668740741,251.595588,109.6133681,216,271,294
2006,2.660037671,1.680383014,26.06903311,89.861263,5.330780822,8.288162615,nan,22.06933196,3.359777968,359.9,151.2306752,72.13192879,111.8428708,294.825081,18.21470833,5.391310185,7.502099537,2.20768287,246.0973148,111.6053171,215,260,278
2007,5.980212814,2.640012055,27.69161052,94.77593561,4.893396119,6.524589348,nan,18.93721575,3.62147774,436.35,153.4217865,77.36274153,115.0040222,277.6907214,17.99803241,7.724875,7.187916667,2.839159722,245.6984815,106.8761088,222,256,279
2008,7.336259784,2.888534973,nan,138.0152729,3.533739185,8.372795556,nan,19.74576377,3.174792805,474.84,150.8428341,96.42728924,nan,337.3126459,16.59957407,6.902296296,5.9933125,3.040699074,237.5301088,112.8111528,244,269,286
2009,6.087522769,2.609357808,nan,nan,3.828030822,nan,nan,nan,3.181917237,454.94,148.1483973,nan,nan,334.0118786,15.6514213,6.740592593,5.906393519,2.648699074,227.4732731,107.6840023,217,272,299
2010,4.949470689,2.659259178,nan,nan,5.692440068,nan,nan,nan,3.543623858,659.03,151.6480377,nan,24.05745957,nan,18.01952546,6.521511574,6.122465278,2.649405093,227.4640995,109.6062338,197,259,304
2011,3.681263086,2.265946849,nan,nan,4.772219749,nan,nan,nan,3.447431507,504.32,147.2997648,nan,nan,nan,18.41913657,7.284081019,7.22962037,2.935481481,238.5350995,108.3142106,235,264,280
2012,6.163629357,2.621466667,49.08144593,157.559937,6.709609517,15.20920114,72.559342,25.83836015,4.246823201,416.16,155.8435331,99.062931,126.9360139,296.5306535,19.27337269,6.913625,8.659546296,3.273821759,262.5054282,110.0367708,211,262,283
2013,5.336574043,2.98676,49.45956934,88.37749324,3.608707192,4.555429855,74.98927892,29.96938307,3.140187215,531.2,143.4295708,84.93758969,136.2543776,282.0054402,17.31605324,6.684881944,6.225400463,2.708145833,238.5162639,106.7190556,229,270,297
2014,4.682104569,2.068337534,34.964125,95.35482652,2.649574772,6.230446381,73.4018955,29.34816273,3.07306621,665.8,141.7395839,84.04159068,133.9935717,279.6243978,16.97299074,5.042108796,5.938650463,2.618189815,230.3387269,102.1677245,244,270,300
2015,5.404562445,2.537001644,37.98484189,95.25561601,5.649006849,7.744133325,70.83678895,26.88940292,3.688770548,515.42,151.5753293,95.08727006,124.8276572,302.4217184,17.1390625,11.31463426,6.610726852,3.214539352,239.5492037,115.285794,223,271,297
2016,5.375782401,2.535944262,42.24526241,89.4304296,5.950323315,7.762497418,70.58747045,30.24263024,4.103660633,819.47,144.8707667,90.25283788,140.1812961,284.6975348,18.23565509,9.767902778,7.460092593,3.750895833,245.3044213,111.0398218,208,267,291
2017,5.124566095,2.35777589,40.2150508,89.51699438,4.891486301,7.140564037,69.62903688,30.77151895,3.886634703,737.14,141.655476,86.93912714,140.9101792,292.4515412,17.10910185,7.475173611,7.259643519,3.661564815,238.3309074,111.7078657,228,263,286
