Year,GPP,RECO,LE,H,Tair,Tsoil,rH,SWC,VPD,P,Rg,Rn,SOS,EOS,Tair_s,Tair_a,VPD_s,VPD_a,Rg_s,Rg_a,EOS_1,EOS_2,EOS_3
2007,4.415721128,2.179145202,36.23998973,99.83839972,7.724441464,9.190529711,69.49414783,11.57980395,3.509005711,461.03,154.9538598,74.45158143,129.1806802,348.503101,19.77040046,11.10461806,6.44975,3.875435185,258.1047963,109.499581,223,289,311
2008,4.819876966,2.493620765,33.05749545,106.8859836,6.417263775,9.402752732,67.66541922,11.6282414,2.793521127,583.65,150.4072712,72.92395415,132.0407809,309.6508285,18.30416898,9.706152778,4.894965278,3.310270833,238.2492269,115.5905162,224,276,297
2009,4.147990986,2.080487671,29.66577397,107.8758291,6.267050228,8.253861624,66.33342182,9.180392409,2.692120519,563.5,153.0514287,80.388481,126.4249649,305.3475372,17.14298148,9.875388889,4.596884259,2.657506944,236.5906435,113.2812523,210,281,304
2010,4.435803064,2.254331507,36.78582021,104.4299556,8.290723174,9.154959846,67.7657439,9.057452055,3.373143167,660.07,155.9840451,84.00745131,129.7301484,292.7032344,19.47412037,9.947305556,5.677951389,3.352043981,228.0775255,114.0638912,209,271,295
2011,4.03704057,2.057802192,32.9891895,95.52752159,7.412601598,8.642459157,71.62187895,8.367980023,2.980242009,729.4,151.1712369,81.78233206,130.1655612,289.2921473,19.94906481,10.88393287,5.950157407,3.060236111,243.8339931,117.3376644,232,282,309
2012,4.83841701,2.144542623,37.58256034,99.07699399,9.08372837,9.174635188,70.77319795,8.558770207,3.784602687,602.46,158.7912494,81.29367349,129.2566911,295.4965155,20.44476157,10.29656019,7.445314815,3.469680556,264.3960023,116.5558472,240,282,316
2013,4.10551608,1.606532055,31.95476027,88.11641303,6.669714612,8.048029125,73.14796939,8.249653824,2.855963466,605.7,154.3241193,82.83683826,138.1707804,304.4194571,19.37326852,9.850793981,5.524201389,3.02168287,256.1167083,116.2713356,230,287,317
2014,4.441480339,2.048644384,29.03765068,98.938776,5.215919521,7.382611031,72.64312158,8.621380993,2.442176521,702.2,150.2170143,80.10568791,136.51439,303.3748787,18.16238426,8.314300926,4.972090278,2.596212963,245.2423727,100.3330417,225,286,308
2015,4.761993068,2.206282192,34.42372317,107.9251882,7.269611872,7.451796338,71.4081463,7.405177511,3.011773337,640.5,155.2734977,75.50847863,137.1918915,315.6786335,18.81932639,12.02974074,5.582650463,3.462875,243.4391389,114.1309236,220,284,305
2016,4.456830595,2.194479781,35.11083163,103.2071326,8.49810337,12.40792868,72.22994996,7.632600926,3.392099539,553.7,153.5771983,85.94266508,140.6306251,324.6533542,20.07299074,12.49782639,6.594856481,3.543212963,250.1699375,118.3881227,224,289,320
2017,4.62486558,2.311791233,34.22644635,97.94903808,7.558886986,8.431298663,72.5098676,6.737125491,2.895147807,664.7,146.9628379,83.28768766,135.8798964,310.2489856,18.61410417,10.7642662,5.017543981,3.492219907,233.9677384,117.7526019,221,286,317
