Year,GPP,RECO,LE,H,Tair,Tsoil,rH,SWC,VPD,P,Rg,Rn,SOS,EOS,Tair_s,Tair_a,VPD_s,VPD_a,Rg_s,Rg_a,EOS_1,EOS_2,EOS_3
2007,3.985061953,0.571316993,48.81976369,195.811164,5.148900051,nan,52.17253853,nan,5.40446715,503.62,228.6632359,nan,nan,nan,14.63178009,7.450530093,9.232414352,5.861641204,303.2245625,198.7964884,219,259,289
2008,3.356472614,0.782065574,45.29649306,201.9141416,4.327985542,nan,49.95324718,nan,5.345943192,303.24,234.315946,nan,nan,nan,13.74527083,6.750513889,8.716652778,5.637092593,300.3240995,205.4927894,235,269,299
2009,3.454309941,0.871832329,42.68714726,193.9245419,4.56525742,nan,48.64607033,nan,5.515967466,387.64,230.4830091,162.4974865,nan,nan,13.84944213,5.578837963,9.275872685,5.059069444,298.2777917,200.1843588,217,258,293
2010,3.446976667,0.58761863,41.33246005,200.1598867,5.047656963,nan,53.40287476,nan,5.673734018,335.83,240.3088876,159.8517913,45.18397905,336.8051502,14.30497917,6.782418981,9.231462963,6.086886574,305.1399931,218.9936157,229,264,317
2011,2.863938661,0.688442192,35.80467523,208.2732612,5.002221461,nan,46.32968035,nan,6.16450742,556.92,238.7100599,154.347662,nan,nan,15.48796991,5.967900463,11.3186713,5.384865741,294.4518866,196.2470069,247,276,313
2012,3.433683223,0.635699454,37.48780396,214.7042115,5.975861225,nan,45.1324546,nan,6.609986908,388.05,242.062574,140.1840578,80.94141294,nan,14.88501852,7.870118056,10.27659259,7.323863426,303.2740093,209.1275579,230,264,297
2013,2.715143594,0.682561096,16.37372471,234.4982823,4.298125571,nan,50.70674563,nan,5.561914384,494.89,230.6184024,93.51014552,91.10139261,nan,13.63734954,4.77055787,9.532270833,4.485675926,300.6906574,180.2781366,nan,nan,nan
2014,1.150678917,0.806772055,32.93713642,120.4353821,4.629938927,nan,48.55956219,nan,5.543006849,383.62,234.1712129,124.3960559,82.52446614,210.2110327,13.26408796,6.25337037,9.243240741,5.224618056,297.804456,205.8800694,252,273,294
2015,1.957332603,0.822527671,43.05497516,101.4194203,4.95725742,nan,52.7617735,nan,5.155204338,452.97,218.5656655,111.8547522,88.48700673,299.1609204,13.44765509,6.579328704,8.206261574,5.38487037,274.7483102,184.1384838,227,261,294
2016,1.975069346,1.891644809,22.06070391,189.8588925,5.009470059,nan,50.51396539,nan,5.51989071,309.12,219.2471642,98.6854566,119.7146525,340.1580671,13.51232639,6.967717593,9.341236111,5.477400463,269.4261829,202.6478519,197,284,313
2017,2.229919595,1.014573699,37.7163145,107.3279241,5.51752911,nan,50.35004584,nan,5.461510274,278.01,223.8794366,93.25168587,80.4264229,327.7153177,13.9271088,6.98725,8.323043981,5.76725,276.2462593,195.853919,256,281,313
